Plot,Date sampled,CWD subplot ID,Species code (if possible),Length (m),Endpoint 1 diameter (cm),Midpoint diameter (cm),Endpoint 2 diameter (cm),Decay class of whole piece,Avg diameter (cm),Radius (cm),Volume (cm3),Species + decay class,Density (g cm-3),Mass (kg),Char class (BP17 ONLY),,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,BEPA,4.05,14.7,9.2,5.0,2,9.6,4.816666667,29519,BEPA2,0.3462,10.21939402,1,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,BEPA,2.24,9.5,13.4,12.0,2,11.6,5.816666667,23809,BEPA2,0.3462,8.24277239,1,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,PIRE,0.47,10.7,16.4,23.4,2,16.8,8.416666667,10460,PIRE2,0.3780,3.953846329,1,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,PIRE,0.35,29.6,23.6,23.5,2,25.6,12.78333333,17968,PIRE2,0.3780,6.792004172,1,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,PIRE,0.21,27.2,20.3,16.7,2,21.4,10.7,7553,PIRE2,0.3780,2.855147325,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,PIRE,1.21,10.0,9.1,9.2,2,9.4,4.716666667,8457,PIRE2,0.3780,3.196667113,2,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,PIRE,0.37,32.7,32.7,32.7,2,32.7,16.35,31073,PIRE2,0.3780,11.74570017,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,PIRE,0.37,20.7,34.4,35.0,2,30.0,15.01666667,26212,PIRE2,0.3780,9.908102204,1,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,PIRE,0.48,16.5,17.0,17.1,2,16.9,8.433333333,10725,PIRE2,0.3780,4.053978516,2,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,PIRE,1.16,12.4,11.4,14.2,2,12.7,6.333333333,14617,PIRE2,0.3780,5.525408026,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,PIRE,1.18,7.4,7.2,6.5,2,7.0,3.516666667,4585,PIRE2,0.3780,1.732950229,1,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,PIRE,1.20,8.3,7.7,5.0,2,7.0,3.5,4618,PIRE2,0.3780,1.745657374,2,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,PIRE,1.00,5.4,5.0,6.6,2,5.7,2.833333333,2522,PIRE2,0.3780,0.953316291,1,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,PIST,1.08,13.3,11.9,12.7,2,12.6,6.316666667,13538,PIST2,0.3780,5.117305527,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,PIST,4.33,12.2,12.1,15.0,2,13.1,6.55,58361,PIST2,0.3780,22.06033834,2,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,PIST,1.55,8.4,9.2,8.9,2,8.8,4.416666667,9499,PIST2,0.3780,3.59056355,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,120,Stump- PIRE,0.77,11.0,10.8,5.0,2,8.9,4.466666667,4826,Stump- PIRE2,0.3780,1.824313555,2,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,ACRU,0.23,5.0,5.4,5.5,2,5.3,2.65,507,ACRU2,0.4090,0.207535676,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,ACRU,0.40,5.0,5.3,5.7,2,5.3,2.666666667,894,ACRU2,0.4090,0.365485908,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,ACRU,0.49,5.3,6.3,7.4,2,6.3,3.166666667,1544,ACRU2,0.4090,0.631355491,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,ACRU,2.52,8.6,9.7,8.2,2,8.8,4.416666667,15443,ACRU2,0.4090,6.316303192,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,ACRU,0.40,5.2,5.1,5.4,2,5.2,2.616666667,860,ACRU2,0.4090,0.351908678,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,ACRU,0.62,5.3,5.1,5.5,2,5.3,2.65,1368,ACRU2,0.4090,0.559443997,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,ACRU,2.25,7.0,6.5,7.5,2,7.0,3.5,8659,ACRU2,0.4090,3.541537033,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,ACRU,1.15,5.6,5.4,5.5,2,5.5,2.75,2732,ACRU2,0.4090,1.117471379,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,ACRU,0.34,5.8,6.2,6.5,2,6.2,3.083333333,1015,ACRU2,0.4090,0.415329763,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,ACRU,2.75,7.1,7.2,9.0,2,7.8,3.883333333,13028,ACRU2,0.4090,5.328625709,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,ACRU,0.68,5.3,5.2,5.1,2,5.2,2.6,1444,ACRU2,0.4090,0.59064807,1,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,ACRU,1.52,5.5,5.6,8.2,2,6.4,3.216666667,4941,ACRU2,0.4090,2.020825837,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,ACRU,0.32,14.4,13.1,12.6,2,13.4,6.683333333,4490,ACRU2,0.4090,1.836578109,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,ACRU,0.37,5.3,5.0,5.3,2,5.2,2.6,786,ACRU2,0.4090,0.321382038,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,ACRU,2.07,6.5,8.7,8.1,2,7.8,3.883333333,9807,ACRU2,0.4090,4.011001898,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,ACRU,0.63,6.5,6.5,6.1,2,6.4,3.183333333,2006,ACRU2,0.4090,0.820309921,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,ACRU,0.38,8.0,6.9,6.1,2,7.0,3.5,1462,ACRU2,0.4090,0.598126255,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,ACRU,0.64,6.3,6.1,6.1,2,6.2,3.083333333,1911,ACRU2,0.4090,0.7817972,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,ACRU,0.96,7.5,5.8,5.4,2,6.2,3.116666667,2930,ACRU2,0.4090,1.198188442,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,ACRU,0.39,6.2,8.5,9.4,2,8.0,4.016666667,1977,ACRU2,0.4090,0.80848017,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,ACRU,0.28,8.1,6.2,7.2,2,7.2,3.583333333,1129,ACRU2,0.4090,0.461961339,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,ACRU,3.30,14.6,8.3,7.9,2,10.3,5.133333333,27319,ACRU2,0.4090,11.17341817,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,PIRE,2.04,6.2,6.0,5.6,2,5.9,2.966666667,5640,PIRE2,0.3780,2.132108707,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,PIRE,0.59,7.6,6.3,5.3,2,6.4,3.2,1898,PIRE2,0.3780,0.717453305,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,PIRE,3.50,13.9,10.6,8.1,2,10.9,5.433333333,32460,PIRE2,0.3780,12.26993936,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,PIRE,0.52,8.7,8.1,8.1,2,8.3,4.15,2814,PIRE2,0.3780,1.063509098,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,PIRE,0.74,8.2,7.6,7.1,2,7.6,3.816666667,3386,PIRE2,0.3780,1.280093983,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,PIRE,0.48,6.6,8.2,8.5,2,7.8,3.883333333,2274,PIRE2,0.3780,0.859591775,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,PIRE,1.11,10.2,9.6,7.7,2,9.2,4.583333333,7325,PIRE2,0.3780,2.769029217,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,PIST,0.96,8.1,8.3,7.5,2,8.0,3.983333333,4785,PIST2,0.3780,1.808865213,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,PIST,1.48,7.2,6.4,5.0,2,6.2,3.1,4468,PIST2,0.3780,1.688988823,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,PIST,0.50,5.4,5.7,5.9,2,5.7,2.833333333,1261,PIST2,0.3780,0.476658145,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,PIST,0.39,5.0,5.4,5.8,2,5.4,2.7,893,PIST2,0.3780,0.337624386,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,PIST,0.52,9.4,9.3,8.4,2,9.0,4.516666667,3333,PIST2,0.3780,1.259740515,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,PIST,0.75,22.4,16.2,13.0,2,17.2,8.6,17426,PIST2,0.3780,6.587184662,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,PIST,3.50,17.7,18.0,18.1,3,17.9,8.966666667,88406,PIST3,0.2843,25.13372317,0,,,,,,,,,,,,,,,
BP17#2,7/13/2020,240,Stump- ACRU,0.21,25.1,19.5,15.4,2,20.0,10,6597,Stump- ACRU2,0.4090,2.69831393,1,,,,,,,,,,,,,,,
BP17#3,7/13/2020,0,ACRU,1.24,14.1,13.7,8.0,2,11.9,5.966666667,13869,ACRU2,0.4090,5.672289896,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,0,ACRU,5.20,9.0,6.7,5.0,2,6.9,3.45,19444,ACRU2,0.4090,7.952702099,2,,,,,,,,,,,,,,,
BP17#3,7/13/2020,0,ACRU,1.00,8.2,8.3,6.9,2,7.8,3.9,4778,ACRU2,0.4090,1.954350232,1,,,,,,,,,,,,,,,
BP17#3,7/13/2020,0,ACRU,0.35,7.4,6.9,6.7,2,7.0,3.5,1347,ACRU2,0.4090,0.550905761,1,,,,,,,,,,,,,,,
BP17#3,7/13/2020,0,ACRU,0.57,5.7,5.6,5.4,2,5.6,2.783333333,1387,ACRU2,0.4090,0.56738582,1,,,,,,,,,,,,,,,
BP17#3,7/13/2020,0,ACRU,2.40,6.0,5.5,5.0,2,5.5,2.75,5702,ACRU2,0.4090,2.332114182,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,0,PIRE,0.44,30.9,29.8,28.0,2,29.6,14.78333333,30210,PIRE2,0.3780,11.41928962,2,,,,,,,,,,,,,,,
BP17#3,7/13/2020,0,PIRE,2.39,7.2,5.4,8.9,2,7.2,3.583333333,9641,PIRE2,0.3780,3.644298922,2,,,,,,,,,,,,,,,
BP17#3,7/13/2020,0,PIST,1.28,13.6,12.7,9.5,2,11.9,5.966666667,14316,PIST2,0.3780,5.411469247,1,,,,,,,,,,,,,,,
BP17#3,7/13/2020,0,PIST,0.50,9.9,11.2,12.8,2,11.3,5.65,5014,PIST2,0.3780,1.895433589,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,0,PIST,1.55,8.5,6.6,7.0,2,7.4,3.683333333,6606,PIST2,0.3780,2.497212024,1,,,,,,,,,,,,,,,
BP17#3,7/13/2020,0,POGR,1.85,18.8,21.7,21.2,2,20.6,10.28333333,61460,POGR2,0.3780,23.2317127,1,,,,,,,,,,,,,,,
BP17#3,7/13/2020,0,Stump- POGR,0.31,44.4,34.2,30.0,2,36.2,18.1,31906,Stump- POGR2,0.3780,12.06036679,1,,,,,,,,,,,,,,,
BP17#3,7/13/2020,0,Unknown,1.21,6.7,7.3,7.4,2,7.1,3.566666667,4836,Unknown2,0.4314,2.08612549,2,,,,,,,,,,,,,,,
BP17#3,7/13/2020,0,Unknown,0.50,7.6,7.4,7.6,2,7.5,3.766666667,2229,Unknown2,0.4314,0.961422752,2,,,,,,,,,,,,,,,
BP17#3,7/13/2020,120,ACRU,1.22,8.1,7.8,8.2,2,8.0,4.016666667,6184,ACRU2,0.4090,2.529091813,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,120,ACRU,3.67,8.4,6.6,5.0,2,6.7,3.333333333,12811,ACRU2,0.4090,5.239583134,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,120,ACRU,2.75,6.6,6.8,8.6,2,7.3,3.666666667,11615,ACRU2,0.4090,4.750602964,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,120,ACRU,0.32,5.0,6.5,5.6,2,5.7,2.85,817,ACRU2,0.4090,0.33397417,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,120,ACRU,3.65,5.0,6.0,6.8,2,5.9,2.966666667,10092,ACRU2,0.4090,4.127656505,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,120,ACRU,3.28,5.2,7.5,7.9,2,6.9,3.433333333,12147,ACRU2,0.4090,4.967969997,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,120,ACRU,2.75,5.7,7.0,8.0,2,6.9,3.45,10283,ACRU2,0.4090,4.205755918,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,120,ACRU,0.31,11.4,10.4,10.1,2,10.6,5.316666667,2753,ACRU2,0.4090,1.12593609,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,120,ACRU,2.45,12.0,11.2,12.2,2,11.8,5.9,26793,ACRU2,0.4090,10.95830259,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,120,PIST,0.86,5.5,5.2,5.7,2,5.5,2.733333333,2019,PIST2,0.3780,0.763001372,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,120,PIST,1.93,8.7,5.0,6.2,2,6.6,3.316666667,6670,PIST2,0.3780,2.521172919,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,120,PIST,1.00,5.0,5.2,7.0,2,5.7,2.866666667,2582,PIST2,0.3780,0.975879209,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,120,PIST,0.54,5.0,5.4,6.9,3,5.8,2.883333333,1410,PIST3,0.2843,0.400968446,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,120,PIST,0.95,11.5,10.7,10.6,3,10.9,5.466666667,8919,PIST3,0.2843,2.535686301,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,120,Stump- ACRU,0.22,27.9,31.2,35.7,2,31.6,15.8,17254,Stump- ACRU2,0.4090,7.056836176,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,120,Stump- ACRU,0.31,33.4,34.5,42.0,2,36.6,18.31666667,32674,Stump- ACRU2,0.4090,13.36373203,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,120,Stump- ACRU,0.30,42.3,43.2,41.0,2,42.2,21.08333333,41894,Stump- ACRU2,0.4090,17.13456115,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,240,ACRU,0.65,6.3,6.0,7.3,2,6.5,3.266666667,2179,ACRU2,0.4090,0.891243097,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,240,ACRU,1.32,5.2,5.0,6.0,2,5.4,2.7,3023,ACRU2,0.4090,1.236444537,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,240,ACRU,2.16,6.0,5.6,5.3,2,5.6,2.816666667,5384,ACRU2,0.4090,2.201901262,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,240,BEPA,1.05,5.1,13.3,11.4,4,9.9,4.966666667,8137,BEPA4,0.2016,1.640437645,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,240,BEPA,0.76,14.7,14.9,14.6,5,14.7,7.366666667,12957,BEPA5,0.1684,2.181964046,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,240,BEPA,0.67,9.7,9.8,10.2,5,9.9,4.95,5157,BEPA5,0.1684,0.868514674,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,240,PIRE,1.05,5.1,5.5,5.7,1,5.4,2.716666667,2435,PIRE1,0.5987,1.457542201,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,240,PIST,0.60,5.0,6.4,5.0,5,5.5,2.733333333,1408,PIST5,0.0680,0.095762446,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,240,QURU,1.32,6.0,5.4,6.4,2,5.9,2.966666667,3650,QURU2,0.5925,2.162467865,0,,,,,,,,,,,,,,,
BP17#3,7/13/2020,240,Stump- QURU,0.29,34.0,34.5,38.2,1,35.6,17.78333333,28812,Stump- QURU1,0.8034,23.14760358,0,,,,,,,,,,,,,,,
BP36#1,7/14/2020,0,PIST,0.35,6.5,5.4,5.1,1,5.7,2.833333333,883,PIST1,0.5987,0.528472651,,,,,,,,,,,,,,,,
BP36#1,7/14/2020,0,POGR,0.20,5.0,5.0,5.2,2,5.1,2.533333333,403,POGR2,0.3780,0.152425049,,,,,,,,,,,,,,,,
BP36#1,7/14/2020,0,POGR,0.50,12.1,15.2,16.3,5,14.5,7.266666667,8295,POGR5,0.0680,0.564026186,,,,,,,,,,,,,,,,
BP36#1,7/14/2020,120,POGR,0.87,6.5,5.0,5.0,3,5.5,2.75,2067,POGR3,0.2843,0.587640031,,,,,,,,,,,,,,,,
BP36#1,7/14/2020,120,POGR,0.81,9.6,8.7,8.0,3,8.8,4.383333333,4889,POGR3,0.2843,1.390019035,,,,,,,,,,,,,,,,
BP36#1,7/14/2020,120,POGR,1.16,6.4,5.5,6.5,3,6.1,3.066666667,3427,POGR3,0.2843,0.974356455,,,,,,,,,,,,,,,,
BP36#1,7/14/2020,120,POGR,0.95,8.2,10.0,8.2,5,8.8,4.4,5778,POGR5,0.0680,0.39290517,,,,,,,,,,,,,,,,
BP36#1,7/14/2020,120,POGR,2.05,14.5,13.6,10.0,5,12.7,6.35,25969,POGR5,0.0680,1.765875565,,,,,,,,,,,,,,,,
BP36#1,7/14/2020,240,POGR,2.51,7.4,8.3,5.7,5,7.1,3.566666667,10031,POGR5,0.0680,0.682114926,,,,,,,,,,,,,,,,
BP36#1,7/14/2020,240,Stump- POGR,0.70,14.0,12.0,9.0,4,11.7,5.833333333,7483,Stump- POGR4,0.2673,2.000232408,,,,,,,,,,,,,,,,
BP36#2,7/14/2020,0,POGR,2.57,7.9,11.2,10.8,4,10.0,4.983333333,20050,POGR4,0.2673,5.359469832,,,,,,,,,,,,,,,,
BP36#2,7/14/2020,0,POGR,2.32,10.9,11.9,9.3,5,10.7,5.35,20861,POGR5,0.0680,1.418581639,,,,,,,,,,,,,,,,
BP36#2,7/14/2020,0,Stump- POGR,0.77,13.7,12.2,10.0,4,12.0,5.983333333,8660,Stump- POGR4,0.2673,2.314866516,,,,,,,,,,,,,,,,
BP36#2,7/14/2020,0,Stump- POGR,0.67,15.3,11.2,10.3,5,12.3,6.133333333,7918,Stump- POGR5,0.0680,0.53842687,,,,,,,,,,,,,,,,
BP36#2,7/14/2020,120,PIST,0.54,9.1,7.2,5.8,2,7.4,3.683333333,2302,PIST2,0.3780,0.869996447,,,,,,,,,,,,,,,,
BP36#2,7/14/2020,120,POGR,3.13,12.2,11.3,10.5,2,11.3,5.666666667,31575,POGR2,0.3780,11.93551996,,,,,,,,,,,,,,,,
BP36#2,7/14/2020,120,POGR,2.07,8.5,8.1,10.6,3,9.1,4.533333333,13365,POGR3,0.2843,3.799551935,,,,,,,,,,,,,,,,
BP36#2,7/14/2020,120,POGR,0.98,5.5,6.5,7.3,3,6.4,3.216666667,3186,POGR3,0.2843,0.905659455,,,,,,,,,,,,,,,,
BP36#2,7/14/2020,120,Unknown,0.93,9.4,9.5,10.2,3,9.7,4.85,6873,Unknown3,0.3356,2.306419231,,,,,,,,,,,,,,,,
BP36#2,7/14/2020,240,POGR,0.70,5.0,5.1,5.0,2,5.0,2.516666667,1393,POGR2,0.3780,0.526491188,,,,,,,,,,,,,,,,
BP36#2,7/14/2020,240,POGR,0.68,7.0,7.3,8.3,2,7.5,3.766666667,3031,POGR2,0.3780,1.145684303,,,,,,,,,,,,,,,,
BP36#2,7/14/2020,240,POGR,1.30,6.7,6.8,6.0,3,6.5,3.25,4314,POGR3,0.2843,1.226413173,,,,,,,,,,,,,,,,
BP36#2,7/14/2020,240,POGR,1.55,5.1,5.5,6.4,3,5.7,2.833333333,3909,POGR3,0.2843,1.111357469,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,0,POGR,0.81,5.5,5.2,5.0,1,5.2,2.616666667,1742,POGR1,0.5987,1.043136048,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,0,POGR,4.67,5.0,6.5,8.4,1,6.6,3.316666667,16139,POGR1,0.5987,9.662280998,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,0,POGR,0.72,5.4,6.0,6.2,1,5.9,2.933333333,1946,POGR1,0.5987,1.165237525,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,0,POGR,2.11,6.9,6.8,6.3,2,6.7,3.333333333,7365,POGR2,0.3780,2.78407941,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,0,POGR,0.63,6.5,5.3,5.3,2,5.7,2.85,1608,POGR2,0.3780,0.607675801,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,0,POGR,1.09,6.6,6.5,7.3,2,6.8,3.4,3959,POGR2,0.3780,1.49632525,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,0,POGR,1.96,6.1,5.8,5.0,2,5.6,2.816666667,4885,POGR2,0.3780,1.846582232,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,0,POGR,1.19,5.2,5.0,5.3,3,5.2,2.583333333,2495,POGR3,0.2843,0.709307561,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,0,POGR,1.93,5.0,5.3,5.0,3,5.1,2.55,3943,POGR3,0.2843,1.120893633,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,0,POGR,2.20,7.0,7.1,5.6,3,6.6,3.283333333,7451,POGR3,0.2843,2.118260485,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,0,POGR,1.06,5.4,6.4,6.7,4,6.2,3.083333333,3166,POGR4,0.2673,0.846244098,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,0,POGR,1.59,6.1,5.0,5.0,4,5.4,2.683333333,3597,POGR4,0.2673,0.961380274,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,0,Stump- POGR,0.20,7.0,7.2,7.9,3,7.4,3.683333333,852,Stump- POGR3,0.2843,0.242347629,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,120,ACRU,0.80,10.5,9.5,9.2,1,9.7,4.866666667,5953,ACRU1,0.5564,3.311998894,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,120,ACRU,1.33,7.3,7.2,6.7,2,7.1,3.533333333,5216,ACRU2,0.4090,2.133506856,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,120,ACRU,2.06,8.4,8.0,7.8,2,8.1,4.033333333,10528,ACRU2,0.4090,4.305946527,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,120,POGR,0.65,5.1,5.0,5.9,2,5.3,2.666666667,1452,POGR2,0.3780,0.548899068,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,120,POGR,2.65,5.0,6.0,7.2,2,6.1,3.033333333,7660,POGR2,0.3780,2.895528351,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,120,POGR,0.63,5.4,5.0,5.2,3,5.2,2.6,1338,POGR3,0.2843,0.380376763,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,POGR,0.33,7.5,6.5,5.2,2,6.4,3.2,1062,POGR2,0.3780,0.401287442,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,POGR,0.87,5.0,5.6,6.9,2,5.8,2.916666667,2325,POGR2,0.3780,0.878889997,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,POGR,1.06,8.5,9.3,8.9,2,8.9,4.45,6594,POGR2,0.3780,2.492685915,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,POGR,1.48,10.3,9.8,10.5,2,10.2,5.1,12093,POGR2,0.3780,4.571342277,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,POGR,1.24,12.0,11.1,10.9,2,11.3,5.666666667,12509,POGR2,0.3780,4.728448802,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,POGR,2.90,10.4,7.9,7.7,2,8.7,4.333333333,17108,POGR2,0.3780,6.46671715,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,POGR,0.85,10.6,10.7,12.0,2,11.1,5.55,8225,POGR2,0.3780,3.109185005,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,POGR,0.33,6.4,6.7,6.8,2,6.6,3.316666667,1140,POGR2,0.3780,0.43108138,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,POGR,1.21,9.7,8.4,8.3,3,8.8,4.4,7359,POGR3,0.2843,2.092268688,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,POGR,2.05,9.5,10.5,11.2,3,10.4,5.2,17414,POGR3,0.2843,4.95093564,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,POGR,1.97,16.9,14.0,15.4,3,15.4,7.716666667,36853,POGR3,0.2843,10.47737383,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,POGR,1.50,11.8,10.8,10.4,3,11.0,5.5,14255,POGR3,0.2843,4.052689866,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,Stump- POGR,0.50,11.6,10.9,10.9,3,11.1,5.566666667,4868,Stump- POGR3,0.2843,1.38384411,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,Stump- POGR,0.27,9.0,5.3,5.3,3,6.5,3.266666667,905,Stump- POGR3,0.2843,0.257335759,,,,,,,,,,,,,,,,
BP54#1,7/7/2020,240,Stump- POGR,0.35,16.8,13.8,13.7,3,14.8,7.383333333,5994,Stump- POGR3,0.2843,1.704118254,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,0,POGR,1.28,6.2,6.5,7.0,1,6.6,3.283333333,4335,POGR1,0.5987,2.595368636,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,0,POGR,1.41,7.3,7.6,6.1,2,7.0,3.5,5426,POGR2,0.3780,2.051147414,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,0,POGR,0.30,5.3,5.5,6.2,4,5.7,2.833333333,757,POGR4,0.2673,0.202239242,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,120,POGR,1.32,6.7,7.1,6.4,3,6.7,3.366666667,4700,POGR3,0.2843,1.336290564,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,120,POGR,2.95,11.1,6.4,5.1,3,7.5,3.766666667,13149,POGR3,0.2843,3.738205102,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,120,POGR,3.17,7.5,10.6,10.1,3,9.4,4.7,21999,POGR3,0.2843,6.254343222,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,120,POGR,2.81,8.9,8.2,6.1,4,7.7,3.866666667,13199,POGR4,0.2673,3.528000357,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,120,POGR,1.54,8.1,6.7,7.5,4,7.4,3.716666667,6683,POGR4,0.2673,1.786392051,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,120,Stump- POGR,0.22,8.1,6.5,5.0,3,6.5,3.266666667,738,Stump- POGR3,0.2843,0.209680988,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,240,POGR,1.10,13.0,13.0,12.2,5,12.7,6.366666667,14008,POGR5,0.0680,0.952523492,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,240,QURU,0.66,5.0,5.0,5.0,2,5.0,2.5,1296,QURU2,0.5925,0.767824879,,,,,,,,,,,,,,,,
BP54#2,7/8/2020,240,QURU,0.52,5.2,5.0,5.0,2,5.1,2.533333333,1048,QURU2,0.5925,0.621192561,,,,,,,,,,,,,,,,
