Plot,Date sampled,CWD subplot ID,Species code (if possible),Length (m),Endpoint 1 diameter (cm),Midpoint diameter (cm),Endpoint 2 diameter (cm),Decay class of whole piece,Avg diameter (cm),Radius (cm),Volume (cm3),Species + decay class,Density (g cm-3),Mass (kg),Char class (BP17 ONLY),,,,,,,,,,,,,,,
BF7,7/6/2020,240,QURU,1.37,6.9,7.3,7.6,2,7.3,3.633333333,5682,QURU2,0.5925,3.366427617,,,,,,,,,,,,,,,,
BF7,7/6/2020,240,Stump- POGR,0.81,9.6,9.4,10.7,3,9.9,4.95,6235,Stump- POGR3,0.2843,1.772646547,,,,,,,,,,,,,,,,
BF8,7/6/2020,0,POGR,0.50,5.1,5.2,5.0,3,5.1,2.55,1021,POGR3,0.2843,0.290386952,,,,,,,,,,,,,,,,
BF8,7/6/2020,0,POGR,0.78,7.5,9.0,10.5,3,9.0,4.5,4962,POGR3,0.2843,1.410737993,,,,,,,,,,,,,,,,
BF8,7/6/2020,0,POGR,0.32,6.5,6.0,5.4,3,6.0,2.983333333,895,POGR3,0.2843,0.254378424,,,,,,,,,,,,,,,,
BF8,7/6/2020,0,Stump- POGR,0.45,11.9,11.1,11.0,3,11.3,5.666666667,4540,Stump- POGR3,0.2843,1.290608674,,,,,,,,,,,,,,,,
BF8,7/6/2020,240,ACRU,1.75,8.7,7.5,6.3,2,7.5,3.75,7731,ACRU2,0.4090,3.162086637,,,,,,,,,,,,,,,,
BP17#1,7/13/2020,0,PIRE,0.22,12.3,12.7,12.6,2,12.5,6.266666667,2714,PIRE2,0.3780,1.025976805,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,0,PIST,1.20,10.0,13.9,6.9,2,10.3,5.133333333,9934,PIST2,0.3780,3.755102973,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,0,POGR,0.80,5.0,7.7,9.5,4,7.4,3.7,3441,POGR4,0.2673,0.919691699,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,0,POGR,0.75,5.5,6.0,5.7,5,5.7,2.866666667,1936,POGR5,0.0680,0.131666243,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,0,POGR,0.45,8.4,8.4,8.4,5,8.4,4.2,2494,POGR5,0.0680,0.169578145,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,0,POGR,0.40,11.7,12.0,9.4,5,11.0,5.516666667,3824,POGR5,0.0680,0.260059225,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,0,POGR,0.80,9.1,8.9,9.6,5,9.2,4.6,5318,POGR5,0.0680,0.361629987,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,0,POGR,1.90,8.3,17.8,12.3,5,12.8,6.4,24449,POGR5,0.0680,1.662540885,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,0,POGR,0.62,12.0,11.0,12.2,5,11.7,5.866666667,6704,POGR5,0.0680,0.455861905,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,0,QURU,1.18,5.0,8.6,9.3,3,7.6,3.816666667,5400,QURU3,0.4304,2.324195236,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,0,QURU,0.50,6.3,6.2,5.4,4,6.0,2.983333333,1398,QURU4,0.3074,0.429761297,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,ACRU,0.61,5.7,5.1,5.3,2,5.4,2.683333333,1380,ACRU2,0.4090,0.564354857,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,ACRU,3.83,12.1,8.0,7.0,2,9.0,4.516666667,24546,ACRU2,0.4090,10.03940641,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,ACRU,1.02,5.1,5.4,6.0,2,5.5,2.75,2423,ACRU2,0.4090,0.991148528,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,ACRU,1.39,7.9,12.7,7.3,2,9.3,4.65,9442,ACRU2,0.4090,3.861836534,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,ACRU,2.43,5.0,7.3,5.1,2,5.8,2.9,6420,ACRU2,0.4090,2.625883475,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,PIRE,2.20,9.8,7.7,5.2,2,7.6,3.783333333,9893,PIRE2,0.3780,3.739500253,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,PIST,0.34,7.7,8.0,8.2,2,8.0,3.983333333,1695,PIST2,0.3780,0.640639763,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,POGR,1.66,5.0,5.6,5.4,2,5.3,2.666666667,3708,POGR2,0.3780,1.401803775,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,POGR,1.07,5.2,5.1,5.5,2,5.3,2.633333333,2331,POGR2,0.3780,0.881124188,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,QURU,0.70,5.0,5.6,8.1,2,6.2,3.116666667,2136,QURU2,0.5925,1.265659781,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,QURU,0.84,9.5,9.2,8.6,2,9.1,4.55,5463,QURU2,0.5925,3.236982166,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,QURU,2.44,5.1,6.6,5.7,2,5.8,2.9,6447,QURU2,0.5925,3.81965422,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,QURU,1.42,5.8,6.6,5.0,2,5.8,2.9,3752,QURU2,0.5925,2.222913521,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,QURU,0.63,5.3,5.4,5.1,2,5.3,2.633333333,1372,QURU2,0.5925,0.813187043,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,QURU,0.99,5.0,5.7,5.0,2,5.2,2.616666667,2130,QURU2,0.5925,1.26174103,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,QURU,1.64,6.5,6.8,5.8,2,6.4,3.183333333,5221,QURU2,0.5925,3.093472853,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,QURU,0.94,5.6,5.4,5.4,2,5.5,2.733333333,2206,QURU2,0.5925,1.307227803,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,QURU,1.17,6.7,7.0,5.2,2,6.3,3.15,3647,QURU2,0.5925,2.16095238,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,QURU,0.88,9.4,9.2,6.1,2,8.2,4.116666667,4685,QURU2,0.5925,2.775954256,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,QURU,1.73,9.7,6.7,6.6,2,7.7,3.833333333,7986,QURU2,0.5925,4.731921178,1,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,QURU,1.95,7.7,6.6,5.3,2,6.5,3.266666667,6537,QURU2,0.5925,3.873311994,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,QURU,0.35,5.8,6.5,5.4,2,5.9,2.95,957,QURU2,0.5925,0.566957238,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,QURU,2.10,7.3,8.8,10.1,2,8.7,4.366666667,12580,QURU2,0.5925,7.453454489,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,QURU,0.84,5.6,6.6,5.1,2,5.8,2.883333333,2194,QURU2,0.5925,1.299891844,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,QURU,0.83,6.0,6.1,5.3,2,5.8,2.9,2193,QURU2,0.5925,1.299308608,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,QURU,1.32,6.9,7.8,10.2,2,8.3,4.15,7142,QURU2,0.5925,4.231636476,0,,,,,,,,,,,,,,,
BP17#1,7/13/2020,120,QURU,0.77,11.2,10.9,10.8,2,11.0,5.483333333,7273,QURU2,0.5925,4.309414292,0,,,,,,,,,,,,,,,
