Sort,Plot,Origin year,Common Name,Species code,old tag,LTREB tag,Measure Year,Stand Year,dbh (inches),dbh (cm),AGB (kg),ht
10699,BS34B,,Acer saccharum,ACSA,307,,1954,,2.1,5.3,8.6,
10700,BS34B,,Acer saccharum,ACSA,369,,1954,,2.1,5.3,8.6,
10701,BS34B,,Acer saccharum,ACSA,514,,1954,,2.1,5.3,8.6,
10702,BS34B,,Acer saccharum,ACSA,   219-A,,1981,,2.1,5.3,8.6,
10703,BS34B,,Acer saccharum,ACSA,   396-C,,1981,,2.1,5.3,8.6,
10704,BS34B,,Acer saccharum,ACSA,54,,1934,,2.2,5.6,9.5,
10705,BS34B,,Acer saccharum,ACSA,71,,1934,,2.2,5.6,9.5,
10706,BS34B,,Acer saccharum,ACSA,84,,1934,,2.2,5.6,9.5,
10707,BS34B,,Acer saccharum,ACSA,91,,1934,,2.2,5.6,9.5,
10708,BS34B,,Acer saccharum,ACSA,133,,1934,,2.2,5.6,9.5,
10709,BS34B,,Acer saccharum,ACSA,234,,1934,,2.2,5.6,9.5,
10710,BS34B,,Acer saccharum,ACSA,235,,1934,,2.2,5.6,9.5,
10711,BS34B,,Acer saccharum,ACSA,52,,1939,,2.2,5.6,9.5,
10712,BS34B,,Acer saccharum,ACSA,113,,1939,,2.2,5.6,9.5,
10713,BS34B,,Acer saccharum,ACSA,119,,1939,,2.2,5.6,9.5,
10714,BS34B,,Acer saccharum,ACSA,132,,1939,,2.2,5.6,9.5,
10715,BS34B,,Acer saccharum,ACSA,134,,1939,,2.2,5.6,9.5,
10716,BS34B,,Acer saccharum,ACSA,155,,1939,,2.2,5.6,9.5,
10717,BS34B,,Acer saccharum,ACSA,271,,1939,,2.2,5.6,9.5,
10718,BS34B,,Acer saccharum,ACSA,280,,1939,,2.2,5.6,9.5,
10719,BS34B,,Acer saccharum,ACSA,394,,1939,,2.2,5.6,9.5,
10720,BS34B,,Acer saccharum,ACSA,514,,1939,,2.2,5.6,9.5,
10721,BS34B,,Acer saccharum,ACSA,42,,1944,,2.2,5.6,9.5,
10722,BS34B,,Acer saccharum,ACSA,52,,1944,,2.2,5.6,9.5,
10723,BS34B,,Acer saccharum,ACSA,78,,1944,,2.2,5.6,9.5,
10724,BS34B,,Acer saccharum,ACSA,119,,1944,,2.2,5.6,9.5,
10725,BS34B,,Acer saccharum,ACSA,131,,1944,,2.2,5.6,9.5,
10726,BS34B,,Acer saccharum,ACSA,140,,1944,,2.2,5.6,9.5,
10727,BS34B,,Acer saccharum,ACSA,181,,1944,,2.2,5.6,9.5,
10728,BS34B,,Acer saccharum,ACSA,341,,1944,,2.2,5.6,9.5,
10729,BS34B,,Acer saccharum,ACSA,347,,1944,,2.2,5.6,9.5,
10730,BS34B,,Acer saccharum,ACSA,435,,1944,,2.2,5.6,9.5,
10731,BS34B,,Acer saccharum,ACSA,458,,1944,,2.2,5.6,9.5,
10732,BS34B,,Acer saccharum,ACSA,487,,1944,,2.2,5.6,9.5,
10733,BS34B,,Acer saccharum,ACSA,514,,1944,,2.2,5.6,9.5,
10734,BS34B,,Acer saccharum,ACSA,42,,1949,,2.2,5.6,9.5,
10735,BS34B,,Acer saccharum,ACSA,78,,1949,,2.2,5.6,9.5,
10736,BS34B,,Acer saccharum,ACSA,140,,1949,,2.2,5.6,9.5,
10737,BS34B,,Acer saccharum,ACSA,199,,1949,,2.2,5.6,9.5,
10738,BS34B,,Acer saccharum,ACSA,415,,1949,,2.2,5.6,9.5,
10739,BS34B,,Acer saccharum,ACSA,445,,1949,,2.2,5.6,9.5,
10740,BS34B,,Acer saccharum,ACSA,487,,1949,,2.2,5.6,9.5,
10741,BS34B,,Acer saccharum,ACSA,78,,1954,,2.2,5.6,9.5,
10742,BS34B,,Acer saccharum,ACSA,132,,1954,,2.2,5.6,9.5,
10743,BS34B,,Acer saccharum,ACSA,199,,1954,,2.2,5.6,9.5,
10744,BS34B,,Acer saccharum,ACSA,271,,1954,,2.2,5.6,9.5,
10745,BS34B,,Acer saccharum,ACSA,371,,1954,,2.2,5.6,9.5,
10746,BS34B,,Acer saccharum,ACSA,445,,1954,,2.2,5.6,9.5,
10747,BS34B,,Acer saccharum,ACSA,451,,1954,,2.2,5.6,9.5,
10748,BS34B,,Acer saccharum,ACSA,458,,1954,,2.2,5.6,9.5,
10749,BS34B,,Acer saccharum,ACSA,   351-A,,1981,,2.2,5.6,9.5,
10750,BS34B,,Acer saccharum,ACSA,   513-A,,1981,,2.2,5.6,9.5,
10751,BS34B,,Acer saccharum,ACSA,9,,1934,,2.3,5.8,10.6,
10752,BS34B,,Acer saccharum,ACSA,14,,1934,,2.3,5.8,10.6,
10753,BS34B,,Acer saccharum,ACSA,44,,1934,,2.3,5.8,10.6,
10754,BS34B,,Acer saccharum,ACSA,60,,1934,,2.3,5.8,10.6,
10755,BS34B,,Acer saccharum,ACSA,386,,1934,,2.3,5.8,10.6,
10756,BS34B,,Acer saccharum,ACSA,405,,1934,,2.3,5.8,10.6,
10757,BS34B,,Acer saccharum,ACSA,434,,1934,,2.3,5.8,10.6,
10758,BS34B,,Acer saccharum,ACSA,441,,1934,,2.3,5.8,10.6,
10759,BS34B,,Acer saccharum,ACSA,451,,1934,,2.3,5.8,10.6,
10760,BS34B,,Acer saccharum,ACSA,460,,1934,,2.3,5.8,10.6,
10761,BS34B,,Acer saccharum,ACSA,463,,1934,,2.3,5.8,10.6,
10762,BS34B,,Acer saccharum,ACSA,466,,1934,,2.3,5.8,10.6,
10763,BS34B,,Acer saccharum,ACSA,474,,1934,,2.3,5.8,10.6,
10764,BS34B,,Acer saccharum,ACSA,489,,1934,,2.3,5.8,10.6,
10765,BS34B,,Acer saccharum,ACSA,507,,1934,,2.3,5.8,10.6,
10766,BS34B,,Acer saccharum,ACSA,50,,1939,,2.3,5.8,10.6,
10767,BS34B,,Acer saccharum,ACSA,54,,1939,,2.3,5.8,10.6,
10768,BS34B,,Acer saccharum,ACSA,58,,1939,,2.3,5.8,10.6,
10769,BS34B,,Acer saccharum,ACSA,147,,1939,,2.3,5.8,10.6,
10770,BS34B,,Acer saccharum,ACSA,227,,1939,,2.3,5.8,10.6,
10771,BS34B,,Acer saccharum,ACSA,228,,1939,,2.3,5.8,10.6,
10772,BS34B,,Acer saccharum,ACSA,238,,1939,,2.3,5.8,10.6,
10773,BS34B,,Acer saccharum,ACSA,245,,1939,,2.3,5.8,10.6,
10774,BS34B,,Acer saccharum,ACSA,323,,1939,,2.3,5.8,10.6,
10775,BS34B,,Acer saccharum,ACSA,377,,1939,,2.3,5.8,10.6,
10776,BS34B,,Acer saccharum,ACSA,395,,1939,,2.3,5.8,10.6,
10777,BS34B,,Acer saccharum,ACSA,409,,1939,,2.3,5.8,10.6,
10778,BS34B,,Acer saccharum,ACSA,446,,1939,,2.3,5.8,10.6,
10779,BS34B,,Acer saccharum,ACSA,475,,1939,,2.3,5.8,10.6,
10780,BS34B,,Acer saccharum,ACSA,113,,1944,,2.3,5.8,10.6,
10781,BS34B,,Acer saccharum,ACSA,132,,1944,,2.3,5.8,10.6,
10782,BS34B,,Acer saccharum,ACSA,134,,1944,,2.3,5.8,10.6,
10783,BS34B,,Acer saccharum,ACSA,218,,1944,,2.3,5.8,10.6,
10784,BS34B,,Acer saccharum,ACSA,323,,1944,,2.3,5.8,10.6,
10785,BS34B,,Acer saccharum,ACSA,399,,1944,,2.3,5.8,10.6,
10786,BS34B,,Acer saccharum,ACSA,401,,1944,,2.3,5.8,10.6,
10787,BS34B,,Acer saccharum,ACSA,516,,1944,,2.3,5.8,10.6,
10788,BS34B,,Acer saccharum,ACSA,52,,1949,,2.3,5.8,10.6,
10789,BS34B,,Acer saccharum,ACSA,113,,1949,,2.3,5.8,10.6,
10790,BS34B,,Acer saccharum,ACSA,119,,1949,,2.3,5.8,10.6,
10791,BS34B,,Acer saccharum,ACSA,132,,1949,,2.3,5.8,10.6,
10792,BS34B,,Acer saccharum,ACSA,134,,1949,,2.3,5.8,10.6,
10793,BS34B,,Acer saccharum,ACSA,222,,1949,,2.3,5.8,10.6,
10794,BS34B,,Acer saccharum,ACSA,323,,1949,,2.3,5.8,10.6,
10795,BS34B,,Acer saccharum,ACSA,341,,1949,,2.3,5.8,10.6,
10796,BS34B,,Acer saccharum,ACSA,347,,1949,,2.3,5.8,10.6,
10797,BS34B,,Acer saccharum,ACSA,399,,1949,,2.3,5.8,10.6,
10798,BS34B,,Acer saccharum,ACSA,435,,1949,,2.3,5.8,10.6,
10799,BS34B,,Acer saccharum,ACSA,514,,1949,,2.3,5.8,10.6,
10800,BS34B,,Acer saccharum,ACSA,516,,1949,,2.3,5.8,10.6,
10801,BS34B,,Acer saccharum,ACSA,184,,1954,,2.3,5.8,10.6,
10802,BS34B,,Acer saccharum,ACSA,347,,1954,,2.3,5.8,10.6,
10803,BS34B,,Acer saccharum,ACSA,399,,1954,,2.3,5.8,10.6,
10804,BS34B,,Acer saccharum,ACSA,435,,1954,,2.3,5.8,10.6,
10805,BS34B,,Acer saccharum,ACSA,475,,1954,,2.3,5.8,10.6,
10806,BS34B,,Acer saccharum,ACSA,516,,1954,,2.3,5.8,10.6,
10807,BS34B,,Acer saccharum,ACSA,   194-A,,1981,,2.3,5.8,10.6,
10808,BS34B,,Acer saccharum,ACSA,   342-A,,1981,,2.3,5.8,10.6,
10809,BS34B,,Acer saccharum,ACSA,   446-A,,1981,,2.3,5.8,10.6,
10810,BS34B,,Acer saccharum,ACSA,4,,1934,,2.4,6.1,11.7,
10811,BS34B,,Acer saccharum,ACSA,43,,1934,,2.4,6.1,11.7,
10812,BS34B,,Acer saccharum,ACSA,47,,1934,,2.4,6.1,11.7,
10813,BS34B,,Acer saccharum,ACSA,69,,1934,,2.4,6.1,11.7,
10814,BS34B,,Acer saccharum,ACSA,114,,1934,,2.4,6.1,11.7,
10815,BS34B,,Acer saccharum,ACSA,145,,1934,,2.4,6.1,11.7,
10816,BS34B,,Acer saccharum,ACSA,151,,1934,,2.4,6.1,11.7,
10817,BS34B,,Acer saccharum,ACSA,381,,1934,,2.4,6.1,11.7,
10818,BS34B,,Acer saccharum,ACSA,400,,1934,,2.4,6.1,11.7,
10819,BS34B,,Acer saccharum,ACSA,421,,1934,,2.4,6.1,11.7,
10820,BS34B,,Acer saccharum,ACSA,443,,1934,,2.4,6.1,11.7,
10821,BS34B,,Acer saccharum,ACSA,502,,1934,,2.4,6.1,11.7,
10822,BS34B,,Acer saccharum,ACSA,512,,1934,,2.4,6.1,11.7,
10823,BS34B,,Acer saccharum,ACSA,60,,1939,,2.4,6.1,11.7,
10824,BS34B,,Acer saccharum,ACSA,71,,1939,,2.4,6.1,11.7,
10825,BS34B,,Acer saccharum,ACSA,84,,1939,,2.4,6.1,11.7,
10826,BS34B,,Acer saccharum,ACSA,91,,1939,,2.4,6.1,11.7,
10827,BS34B,,Acer saccharum,ACSA,120,,1939,,2.4,6.1,11.7,
10828,BS34B,,Acer saccharum,ACSA,133,,1939,,2.4,6.1,11.7,
10829,BS34B,,Acer saccharum,ACSA,451,,1939,,2.4,6.1,11.7,
10830,BS34B,,Acer saccharum,ACSA,463,,1939,,2.4,6.1,11.7,
10831,BS34B,,Acer saccharum,ACSA,507,,1939,,2.4,6.1,11.7,
10832,BS34B,,Acer saccharum,ACSA,50,,1944,,2.4,6.1,11.7,
10833,BS34B,,Acer saccharum,ACSA,54,,1944,,2.4,6.1,11.7,
10834,BS34B,,Acer saccharum,ACSA,168,,1944,,2.4,6.1,11.7,
10835,BS34B,,Acer saccharum,ACSA,175,,1944,,2.4,6.1,11.7,
10836,BS34B,,Acer saccharum,ACSA,186,,1944,,2.4,6.1,11.7,
10837,BS34B,,Acer saccharum,ACSA,198,,1944,,2.4,6.1,11.7,
10838,BS34B,,Acer saccharum,ACSA,200,,1944,,2.4,6.1,11.7,
10839,BS34B,,Acer saccharum,ACSA,219,,1944,,2.4,6.1,11.7,
10840,BS34B,,Acer saccharum,ACSA,238,,1944,,2.4,6.1,11.7,
10841,BS34B,,Acer saccharum,ACSA,271,,1944,,2.4,6.1,11.7,
10842,BS34B,,Acer saccharum,ACSA,280,,1944,,2.4,6.1,11.7,
10843,BS34B,,Acer saccharum,ACSA,394,,1944,,2.4,6.1,11.7,
10844,BS34B,,Acer saccharum,ACSA,475,,1944,,2.4,6.1,11.7,
10845,BS34B,,Acer saccharum,ACSA,489,,1944,,2.4,6.1,11.7,
10846,BS34B,,Acer saccharum,ACSA,50,,1949,,2.4,6.1,11.7,
10847,BS34B,,Acer saccharum,ACSA,238,,1949,,2.4,6.1,11.7,
10848,BS34B,,Acer saccharum,ACSA,271,,1949,,2.4,6.1,11.7,
10849,BS34B,,Acer saccharum,ACSA,280,,1949,,2.4,6.1,11.7,
10850,BS34B,,Acer saccharum,ACSA,401,,1949,,2.4,6.1,11.7,
10851,BS34B,,Acer saccharum,ACSA,427,,1949,,2.4,6.1,11.7,
10852,BS34B,,Acer saccharum,ACSA,475,,1949,,2.4,6.1,11.7,
10853,BS34B,,Acer saccharum,ACSA,50,,1954,,2.4,6.1,11.7,
10854,BS34B,,Acer saccharum,ACSA,58,,1954,,2.4,6.1,11.7,
10855,BS34B,,Acer saccharum,ACSA,120,,1954,,2.4,6.1,11.7,
10856,BS34B,,Acer saccharum,ACSA,222,,1954,,2.4,6.1,11.7,
10857,BS34B,,Acer saccharum,ACSA,228,,1954,,2.4,6.1,11.7,
10858,BS34B,,Acer saccharum,ACSA,238,,1954,,2.4,6.1,11.7,
10859,BS34B,,Acer saccharum,ACSA,280,,1954,,2.4,6.1,11.7,
10860,BS34B,,Acer saccharum,ACSA,323,,1954,,2.4,6.1,11.7,
10861,BS34B,,Acer saccharum,ACSA,401,,1954,,2.4,6.1,11.7,
10862,BS34B,,Acer saccharum,ACSA,403,,1954,,2.4,6.1,11.7,
10863,BS34B,,Acer saccharum,ACSA,   367-A,,1981,,2.4,6.1,11.7,
10864,BS34B,,Acer saccharum,ACSA,   375-A,,1981,,2.4,6.1,11.7,
10865,BS34B,,Acer saccharum,ACSA,8,,1934,,2.5,6.4,12.9,
10866,BS34B,,Acer saccharum,ACSA,15,,1934,,2.5,6.4,12.9,
10867,BS34B,,Acer saccharum,ACSA,17,,1934,,2.5,6.4,12.9,
10868,BS34B,,Acer saccharum,ACSA,98,,1934,,2.5,6.4,12.9,
10869,BS34B,,Acer saccharum,ACSA,104,,1934,,2.5,6.4,12.9,
10870,BS34B,,Acer saccharum,ACSA,118,,1934,,2.5,6.4,12.9,
10871,BS34B,,Acer saccharum,ACSA,385,,1934,,2.5,6.4,12.9,
10872,BS34B,,Acer saccharum,ACSA,465,,1934,,2.5,6.4,12.9,
10873,BS34B,,Acer saccharum,ACSA,481,,1934,,2.5,6.4,12.9,
10874,BS34B,,Acer saccharum,ACSA,4,,1939,,2.5,6.4,12.9,
10875,BS34B,,Acer saccharum,ACSA,15,,1939,,2.5,6.4,12.9,
10876,BS34B,,Acer saccharum,ACSA,43,,1939,,2.5,6.4,12.9,
10877,BS34B,,Acer saccharum,ACSA,44,,1939,,2.5,6.4,12.9,
10878,BS34B,,Acer saccharum,ACSA,158,,1939,,2.5,6.4,12.9,
10879,BS34B,,Acer saccharum,ACSA,177,,1939,,2.5,6.4,12.9,
10880,BS34B,,Acer saccharum,ACSA,232,,1939,,2.5,6.4,12.9,
10881,BS34B,,Acer saccharum,ACSA,235,,1939,,2.5,6.4,12.9,
10882,BS34B,,Acer saccharum,ACSA,386,,1939,,2.5,6.4,12.9,
10883,BS34B,,Acer saccharum,ACSA,405,,1939,,2.5,6.4,12.9,
10884,BS34B,,Acer saccharum,ACSA,441,,1939,,2.5,6.4,12.9,
10885,BS34B,,Acer saccharum,ACSA,460,,1939,,2.5,6.4,12.9,
10886,BS34B,,Acer saccharum,ACSA,466,,1939,,2.5,6.4,12.9,
10887,BS34B,,Acer saccharum,ACSA,474,,1939,,2.5,6.4,12.9,
10888,BS34B,,Acer saccharum,ACSA,489,,1939,,2.5,6.4,12.9,
10889,BS34B,,Acer saccharum,ACSA,58,,1944,,2.5,6.4,12.9,
10890,BS34B,,Acer saccharum,ACSA,60,,1944,,2.5,6.4,12.9,
10891,BS34B,,Acer saccharum,ACSA,120,,1944,,2.5,6.4,12.9,
10892,BS34B,,Acer saccharum,ACSA,155,,1944,,2.5,6.4,12.9,
10893,BS34B,,Acer saccharum,ACSA,228,,1944,,2.5,6.4,12.9,
10894,BS34B,,Acer saccharum,ACSA,377,,1944,,2.5,6.4,12.9,
10895,BS34B,,Acer saccharum,ACSA,395,,1944,,2.5,6.4,12.9,
10896,BS34B,,Acer saccharum,ACSA,409,,1944,,2.5,6.4,12.9,
10897,BS34B,,Acer saccharum,ACSA,451,,1944,,2.5,6.4,12.9,
10898,BS34B,,Acer saccharum,ACSA,460,,1944,,2.5,6.4,12.9,
10899,BS34B,,Acer saccharum,ACSA,463,,1944,,2.5,6.4,12.9,
10900,BS34B,,Acer saccharum,ACSA,507,,1944,,2.5,6.4,12.9,
10901,BS34B,,Acer saccharum,ACSA,58,,1949,,2.5,6.4,12.9,
10902,BS34B,,Acer saccharum,ACSA,60,,1949,,2.5,6.4,12.9,
10903,BS34B,,Acer saccharum,ACSA,120,,1949,,2.5,6.4,12.9,
10904,BS34B,,Acer saccharum,ACSA,377,,1949,,2.5,6.4,12.9,
10905,BS34B,,Acer saccharum,ACSA,451,,1949,,2.5,6.4,12.9,
10906,BS34B,,Acer saccharum,ACSA,460,,1949,,2.5,6.4,12.9,
10907,BS34B,,Acer saccharum,ACSA,463,,1949,,2.5,6.4,12.9,
10908,BS34B,,Acer saccharum,ACSA,60,,1954,,2.5,6.4,12.9,
10909,BS34B,,Acer saccharum,ACSA,67,,1954,,2.5,6.4,12.9,
10910,BS34B,,Acer saccharum,ACSA,84,,1954,,2.5,6.4,12.9,
10911,BS34B,,Acer saccharum,ACSA,171,,1954,,2.5,6.4,12.9,
10912,BS34B,,Acer saccharum,ACSA,438,,1954,,2.5,6.4,12.9,
10913,BS34B,,Acer saccharum,ACSA,460,,1954,,2.5,6.4,12.9,
10914,BS34B,,Acer saccharum,ACSA,487,,1954,,2.5,6.4,12.9,
10915,BS34B,,Acer saccharum,ACSA,475,,1981,,2.5,6.4,12.9,
10916,BS34B,,Acer saccharum,ACSA,   200-A,,1981,,2.5,6.4,12.9,
10917,BS34B,,Acer saccharum,ACSA,   381-A,,1981,,2.5,6.4,12.9,
10918,BS34B,,Acer saccharum,ACSA,6,,1934,,2.6,6.6,14.1,
10919,BS34B,,Acer saccharum,ACSA,35,,1934,,2.6,6.6,14.1,
10920,BS34B,,Acer saccharum,ACSA,87,,1934,,2.6,6.6,14.1,
10921,BS34B,,Acer saccharum,ACSA,100,,1934,,2.6,6.6,14.1,
10922,BS34B,,Acer saccharum,ACSA,171,,1934,,2.6,6.6,14.1,
10923,BS34B,,Acer saccharum,ACSA,194,,1934,,2.6,6.6,14.1,
10924,BS34B,,Acer saccharum,ACSA,279,,1934,,2.6,6.6,14.1,
10925,BS34B,,Acer saccharum,ACSA,354,,1934,,2.6,6.6,14.1,
10926,BS34B,,Acer saccharum,ACSA,406,,1934,,2.6,6.6,14.1,
10927,BS34B,,Acer saccharum,ACSA,438,,1934,,2.6,6.6,14.1,
10928,BS34B,,Acer saccharum,ACSA,476,,1934,,2.6,6.6,14.1,
10929,BS34B,,Acer saccharum,ACSA,8,,1939,,2.6,6.6,14.1,
10930,BS34B,,Acer saccharum,ACSA,9,,1939,,2.6,6.6,14.1,
10931,BS34B,,Acer saccharum,ACSA,14,,1939,,2.6,6.6,14.1,
10932,BS34B,,Acer saccharum,ACSA,17,,1939,,2.6,6.6,14.1,
10933,BS34B,,Acer saccharum,ACSA,47,,1939,,2.6,6.6,14.1,
10934,BS34B,,Acer saccharum,ACSA,114,,1939,,2.6,6.6,14.1,
10935,BS34B,,Acer saccharum,ACSA,234,,1939,,2.6,6.6,14.1,
10936,BS34B,,Acer saccharum,ACSA,354,,1939,,2.6,6.6,14.1,
10937,BS34B,,Acer saccharum,ACSA,434,,1939,,2.6,6.6,14.1,
10938,BS34B,,Acer saccharum,ACSA,43,,1944,,2.6,6.6,14.1,
10939,BS34B,,Acer saccharum,ACSA,47,,1944,,2.6,6.6,14.1,
10940,BS34B,,Acer saccharum,ACSA,84,,1944,,2.6,6.6,14.1,
10941,BS34B,,Acer saccharum,ACSA,91,,1944,,2.6,6.6,14.1,
10942,BS34B,,Acer saccharum,ACSA,171,,1944,,2.6,6.6,14.1,
10943,BS34B,,Acer saccharum,ACSA,245,,1944,,2.6,6.6,14.1,
10944,BS34B,,Acer saccharum,ACSA,446,,1944,,2.6,6.6,14.1,
10945,BS34B,,Acer saccharum,ACSA,466,,1944,,2.6,6.6,14.1,
10946,BS34B,,Acer saccharum,ACSA,474,,1944,,2.6,6.6,14.1,
10947,BS34B,,Acer saccharum,ACSA,43,,1949,,2.6,6.6,14.1,
10948,BS34B,,Acer saccharum,ACSA,84,,1949,,2.6,6.6,14.1,
10949,BS34B,,Acer saccharum,ACSA,91,,1949,,2.6,6.6,14.1,
10950,BS34B,,Acer saccharum,ACSA,171,,1949,,2.6,6.6,14.1,
10951,BS34B,,Acer saccharum,ACSA,175,,1949,,2.6,6.6,14.1,
10952,BS34B,,Acer saccharum,ACSA,181,,1949,,2.6,6.6,14.1,
10953,BS34B,,Acer saccharum,ACSA,228,,1949,,2.6,6.6,14.1,
10954,BS34B,,Acer saccharum,ACSA,409,,1949,,2.6,6.6,14.1,
10955,BS34B,,Acer saccharum,ACSA,466,,1949,,2.6,6.6,14.1,
10956,BS34B,,Acer saccharum,ACSA,474,,1949,,2.6,6.6,14.1,
10957,BS34B,,Acer saccharum,ACSA,33,,1954,,2.6,6.6,14.1,
10958,BS34B,,Acer saccharum,ACSA,35,,1954,,2.6,6.6,14.1,
10959,BS34B,,Acer saccharum,ACSA,43,,1954,,2.6,6.6,14.1,
10960,BS34B,,Acer saccharum,ACSA,47,,1954,,2.6,6.6,14.1,
10961,BS34B,,Acer saccharum,ACSA,155,,1954,,2.6,6.6,14.1,
10962,BS34B,,Acer saccharum,ACSA,175,,1954,,2.6,6.6,14.1,
10963,BS34B,,Acer saccharum,ACSA,377,,1954,,2.6,6.6,14.1,
10964,BS34B,,Acer saccharum,ACSA,394,,1954,,2.6,6.6,14.1,
10965,BS34B,,Acer saccharum,ACSA,409,,1954,,2.6,6.6,14.1,
10966,BS34B,,Acer saccharum,ACSA,466,,1954,,2.6,6.6,14.1,
10967,BS34B,,Acer saccharum,ACSA,481,,1954,,2.6,6.6,14.1,
10968,BS34B,,Acer saccharum,ACSA,21,,1934,,2.7,6.9,15.4,
10969,BS34B,,Acer saccharum,ACSA,24,,1934,,2.7,6.9,15.4,
10970,BS34B,,Acer saccharum,ACSA,33,,1934,,2.7,6.9,15.4,
10971,BS34B,,Acer saccharum,ACSA,41,,1934,,2.7,6.9,15.4,
10972,BS34B,,Acer saccharum,ACSA,74,,1934,,2.7,6.9,15.4,
10973,BS34B,,Acer saccharum,ACSA,75,,1934,,2.7,6.9,15.4,
10974,BS34B,,Acer saccharum,ACSA,130,,1934,,2.7,6.9,15.4,
10975,BS34B,,Acer saccharum,ACSA,301,,1934,,2.7,6.9,15.4,
10976,BS34B,,Acer saccharum,ACSA,383,,1934,,2.7,6.9,15.4,
10977,BS34B,,Acer saccharum,ACSA,404,,1934,,2.7,6.9,15.4,
10978,BS34B,,Acer saccharum,ACSA,439,,1934,,2.7,6.9,15.4,
10979,BS34B,,Acer saccharum,ACSA,501,,1934,,2.7,6.9,15.4,
10980,BS34B,,Acer saccharum,ACSA,6,,1939,,2.7,6.9,15.4,
10981,BS34B,,Acer saccharum,ACSA,33,,1939,,2.7,6.9,15.4,
10982,BS34B,,Acer saccharum,ACSA,35,,1939,,2.7,6.9,15.4,
10983,BS34B,,Acer saccharum,ACSA,171,,1939,,2.7,6.9,15.4,
10984,BS34B,,Acer saccharum,ACSA,381,,1939,,2.7,6.9,15.4,
10985,BS34B,,Acer saccharum,ACSA,400,,1939,,2.7,6.9,15.4,
10986,BS34B,,Acer saccharum,ACSA,438,,1939,,2.7,6.9,15.4,
10987,BS34B,,Acer saccharum,ACSA,512,,1939,,2.7,6.9,15.4,
10988,BS34B,,Acer saccharum,ACSA,4,,1944,,2.7,6.9,15.4,
10989,BS34B,,Acer saccharum,ACSA,13,,1944,,2.7,6.9,15.4,
10990,BS34B,,Acer saccharum,ACSA,44,,1944,,2.7,6.9,15.4,
10991,BS34B,,Acer saccharum,ACSA,71,,1944,,2.7,6.9,15.4,
10992,BS34B,,Acer saccharum,ACSA,130,,1944,,2.7,6.9,15.4,
10993,BS34B,,Acer saccharum,ACSA,147,,1944,,2.7,6.9,15.4,
10994,BS34B,,Acer saccharum,ACSA,386,,1944,,2.7,6.9,15.4,
10995,BS34B,,Acer saccharum,ACSA,438,,1944,,2.7,6.9,15.4,
10996,BS34B,,Acer saccharum,ACSA,481,,1944,,2.7,6.9,15.4,
10997,BS34B,,Acer saccharum,ACSA,4,,1949,,2.7,6.9,15.4,
10998,BS34B,,Acer saccharum,ACSA,47,,1949,,2.7,6.9,15.4,
10999,BS34B,,Acer saccharum,ACSA,71,,1949,,2.7,6.9,15.4,
11000,BS34B,,Acer saccharum,ACSA,155,,1949,,2.7,6.9,15.4,
11001,BS34B,,Acer saccharum,ACSA,168,,1949,,2.7,6.9,15.4,
11002,BS34B,,Acer saccharum,ACSA,245,,1949,,2.7,6.9,15.4,
11003,BS34B,,Acer saccharum,ACSA,394,,1949,,2.7,6.9,15.4,
11004,BS34B,,Acer saccharum,ACSA,438,,1949,,2.7,6.9,15.4,
11005,BS34B,,Acer saccharum,ACSA,481,,1949,,2.7,6.9,15.4,
11006,BS34B,,Acer saccharum,ACSA,4,,1954,,2.7,6.9,15.4,
11007,BS34B,,Acer saccharum,ACSA,30,,1954,,2.7,6.9,15.4,
11008,BS34B,,Acer saccharum,ACSA,44,,1954,,2.7,6.9,15.4,
11009,BS34B,,Acer saccharum,ACSA,100,,1954,,2.7,6.9,15.4,
11010,BS34B,,Acer saccharum,ACSA,113,,1954,,2.7,6.9,15.4,
11011,BS34B,,Acer saccharum,ACSA,474,,1954,,2.7,6.9,15.4,
11012,BS34B,,Acer saccharum,ACSA,   174-A,,1981,,2.7,6.9,15.4,
11013,BS34B,,Acer saccharum,ACSA,   400-A,,1981,,2.7,6.9,15.4,
11014,BS34B,,Acer saccharum,ACSA,7,,1934,,2.8,7.1,16.8,
11015,BS34B,,Acer saccharum,ACSA,27,,1934,,2.8,7.1,16.8,
11016,BS34B,,Acer saccharum,ACSA,36,,1934,,2.8,7.1,16.8,
11017,BS34B,,Acer saccharum,ACSA,38,,1934,,2.8,7.1,16.8,
11018,BS34B,,Acer saccharum,ACSA,161,,1934,,2.8,7.1,16.8,
11019,BS34B,,Acer saccharum,ACSA,361,,1934,,2.8,7.1,16.8,
11020,BS34B,,Acer saccharum,ACSA,432,,1934,,2.8,7.1,16.8,
11021,BS34B,,Acer saccharum,ACSA,453,,1934,,2.8,7.1,16.8,
11022,BS34B,,Acer saccharum,ACSA,504,,1934,,2.8,7.1,16.8,
11023,BS34B,,Acer saccharum,ACSA,24,,1939,,2.8,7.1,16.8,
11024,BS34B,,Acer saccharum,ACSA,27,,1939,,2.8,7.1,16.8,
11025,BS34B,,Acer saccharum,ACSA,41,,1939,,2.8,7.1,16.8,
11026,BS34B,,Acer saccharum,ACSA,69,,1939,,2.8,7.1,16.8,
11027,BS34B,,Acer saccharum,ACSA,87,,1939,,2.8,7.1,16.8,
11028,BS34B,,Acer saccharum,ACSA,98,,1939,,2.8,7.1,16.8,
