Sort,Plot,Origin year,Common Name,Species code,old tag,LTREB tag,Measure Year,Stand Year,dbh (inches),dbh (cm),AGB (kg),ht
76,BS34A,,Acer saccharum,ACSA,360,,1934,,1.5,3.8,3.9,
77,BS34A,,Acer saccharum,ACSA,361,,1934,,1.5,3.8,3.9,
78,BS34A,,Acer saccharum,ACSA,391,,1934,,1.5,3.8,3.9,
79,BS34A,,Acer saccharum,ACSA,398,,1934,,1.5,3.8,3.9,
80,BS34A,,Acer saccharum,ACSA,404,,1934,,1.5,3.8,3.9,
81,BS34A,,Acer saccharum,ACSA,433,,1934,,1.5,3.8,3.9,
82,BS34A,,Acer saccharum,ACSA,441,,1934,,1.5,3.8,3.9,
83,BS34A,,Acer saccharum,ACSA,451,,1934,,1.5,3.8,3.9,
84,BS34A,,Acer saccharum,ACSA,455,,1934,,1.5,3.8,3.9,
85,BS34A,,Acer saccharum,ACSA,507,,1934,,1.5,3.8,3.9,
86,BS34A,,Acer saccharum,ACSA,522,,1934,,1.5,3.8,3.9,
87,BS34A,,Acer saccharum,ACSA,566,,1934,,1.5,3.8,3.9,
88,BS34A,,Acer saccharum,ACSA,574,,1934,,1.5,3.8,3.9,
89,BS34A,,Acer saccharum,ACSA,649,,1934,,1.5,3.8,3.9,
90,BS34A,,Acer saccharum,ACSA,138,,1939,,1.5,3.8,3.9,
91,BS34A,,Acer saccharum,ACSA,141,,1939,,1.5,3.8,3.9,
92,BS34A,,Acer saccharum,ACSA,301,,1939,,1.5,3.8,3.9,
93,BS34A,,Acer saccharum,ACSA,376,,1939,,1.5,3.8,3.9,
94,BS34A,,Acer saccharum,ACSA,448,,1939,,1.5,3.8,3.9,
95,BS34A,,Acer saccharum,ACSA,467,,1939,,1.5,3.8,3.9,
96,BS34A,,Acer saccharum,ACSA,486,,1939,,1.5,3.8,3.9,
97,BS34A,,Acer saccharum,ACSA,141,,1944,,1.5,3.8,3.9,
98,BS34A,,Acer saccharum,ACSA,301,,1944,,1.5,3.8,3.9,
99,BS34A,,Acer saccharum,ACSA,448,,1944,,1.5,3.8,3.9,
100,BS34A,,Acer saccharum,ACSA,301,,1949,,1.5,3.8,3.9,
101,BS34A,,Acer saccharum,ACSA,    192A,,1982,,1.5,3.8,3.9,
102,BS34A,,Acer saccharum,ACSA,    200A,,1982,,1.5,3.8,3.9,
103,BS34A,,Acer saccharum,ACSA,    397C,,1982,,1.5,3.8,3.9,
104,BS34A,,Acer saccharum,ACSA,    437C,,1982,,1.5,3.8,3.9,
