50 YEAR PLOT NO. 5,,,,,,,,,,,,
".1 acre, 66 ft. square",,,,,,,,,,,Actual ,
,,,,,DBH Class in Inches-------------------,,,,,,DBH (in),
SPECIES,X (ft.),X_COORD,Y (ft.),Y_COORD,1938,1945,1951,1955,1973,1979,1991,2001
27,42.37,1917295.37,9.83,828850.83 ,,,,0.5,,,,
27,42.41,1917295.41,11.52,828852.52 ,,,,0.5,,,,
27,42.64,1917295.64,13.56,828854.56 ,,,,0.5,,,,
27,42.70,1917295.70,54.65,828895.65 ,1.0,,,,,,,
27,43.00,1917296.00,20.43,828861.43 ,,,,,1.0,,,
27,43.20,1917296.20,25.41,828866.41 ,2.0,2.0,,,,,,
27,43.23,1917296.23,57.85,828898.85 ,2.0,,,,,,,
27,43.96,1917296.96,56.30,828897.30 ,0.5,,,,,,,
27,44.02,1917297.02,58.87,828899.87 ,3.0,,,,,,,
27,44.88,1917297.88,5.51,828846.51 ,2.0, , , , , ,,
27,45.61,1917298.61,9.90,828850.90 ,2.0, , , , , ,,
27,45.90,1917298.90,9.57,828850.57 ,2.0, , , , , ,,
27,46.23,1917299.23,64.35,828905.35 ,,,1.0,,,,,
27,47.03,1917300.03,50.03,828891.03 ,,,,0.5,,,,
27,47.22,1917300.22,17.52,828858.52 ,1.0,,,, , ,,
27,47.42,1917300.42,17.13,828858.13 ,1.0,,,, , ,,
27,50.00,1917303.00,19.27,828860.27 ,,,,0.5,,,,
27,50.03,1917303.03,55.08,828896.08 ,0.5,1.0,1.0,,,,,
27,50.75,1917303.75,54.68,828895.68 ,2.0,3.0,,,,,,
27,52.24,1917305.24,60.39,828901.39 ,0.5,,,,,,,
27,53.26,1917306.26,50.26,828891.26 ,0.5,,,,,,,
27,53.33,1917306.33,30.99,828871.99 ,,,,0.5,,,,
27,53.33,1917306.33,37.39,828878.39 ,,,,0.5,,,,
27,53.43,1917306.43,35.34,828876.34 ,,,,0.5,,,,
27,53.53,1917306.53,28.61,828869.61 ,,,,0.5,,,,
27,54.68,1917307.68,62.80,828903.80 ,5.0,,,,,,,
27,54.81,1917307.81,1.88,828842.88 ,4.0, , , , , ,,
27,55.14,1917308.14,16.04,828857.04 ,,,1.0,,,,,
27,55.31,1917308.31,37.16,828878.16 ,3.0,,,,,,,
27,57.19,1917310.19,2.38,828843.38 ,4.0, , , , , ,,
27,58.58,1917311.58,10.66,828851.66 ,3.0, , , , , ,,
27,58.87,1917311.87,38.45,828879.45 ,,0.5,,,,,,
27,59.50,1917312.50,11.75,828852.75 , ,0.5, , , , ,,
27,59.99,1917312.99,60.65,828901.65 ,2.0,2.0,3.0,,,,,
27,60.65,1917313.65,44.98,828885.98 ,3.0,3.0,4.0,,,,,
27,62.44,1917315.44,44.25,828885.25 ,1.0,1.0,2.0,,,,,
27,63.13,1917316.13,36.20,828877.20 ,,,,0.5,,,,
27,63.29,1917316.29,29.63,828870.63 ,2.0,,,,,,,
27,64.09,1917317.09,7.19,828848.19 ,4.0, , , , , ,,
27,65.08,1917318.08,43.82,828884.82 ,3.0,,,,,,,
32,3.56,1917256.56,65.77,828906.77 ,,0.5,,,,,,
32,6.01,1917259.01,65.18,828906.18 ,,0.5,0.5,,,,,
32,6.27,1917259.27,65.01,828906.01 ,,0.5,0.5,0.5,1.0,1.0,,
32,6.90,1917259.90,60.03,828901.03 ,,0.5,,,,,,
32,11.72,1917264.72,65.97,828906.97 ,,0.5,,,,,,
32,12.11,1917265.11,61.02,828902.02 ,,0.5,0.5,1.0,,,,
32,12.67,1917265.67,60.92,828901.92 ,,0.5,0.5,0.5,,,,
32,12.87,1917265.87,31.88,828872.88 ,,0.5,0.5,0.5,,,,
32,13.00,1917266.00,31.12,828872.12 ,,0.5,0.5,0.5,,,,
32,13.00,1917266.00,32.74,828873.74 ,,0.5,0.5,0.5,,,,
32,13.89,1917266.89,64.09,828905.09 ,,0.5,0.5,,,,,
32,13.99,1917266.99,64.52,828905.52 ,,0.5,0.5,,,,,
32,14.52,1917267.52,64.19,828905.19 ,,0.5,0.5,,,,,
32,16.63,1917269.63,64.28,828905.28 ,,0.5,0.5,,,,,
32,16.63,1917269.63,64.91,828905.91 ,,0.5,0.5,,,,,
32,17.09,1917270.09,64.88,828905.88 ,,0.5,0.5,,,,,
32,17.16,1917270.16,64.32,828905.32 ,,0.5,0.5,,,,,
32,17.52,1917270.52,31.28,828872.28 ,,0.5,0.5,0.5,,,,
32,17.62,1917270.62,35.67,828876.67 ,0.5,0.5,1.0,1.0,,,,
32,17.82,1917270.82,35.38,828876.38 ,0.5,0.5,0.5,0.5,,,,
32,18.28,1917271.28,31.22,828872.22 ,,0.5,0.5,0.5,,,,
32,18.68,1917271.68,36.63,828877.63 ,,0.5,0.5,0.5,,,,
32,18.98,1917271.98,36.73,828877.73 ,,0.5,0.5,0.5,,,,
32,19.01,1917272.01,36.37,828877.37 ,,0.5,0.5,0.5,,,,
32,19.24,1917272.24,36.17,828877.17 ,,0.5,0.5,0.5,,,,
32,19.44,1917272.44,34.95,828875.95 ,,0.5,0.5,0.5,,,,
32,20.82,1917273.82,32.27,828873.27 ,,0.5,,,,,,
32,23.60,1917276.60,35.84,828876.84 ,0.5,0.5,,,,,,
32,23.73,1917276.73,36.53,828877.53 ,0.5,0.5,,,,,,
32,23.93,1917276.93,12.84,828853.84 ,,,,,0.5,0.5,,
32,24.06,1917277.06,36.23,828877.23 ,0.5,0.5,,,,,,
32,24.26,1917277.26,28.45,828869.45 ,,0.5,0.5,0.5,,,,
32,24.35,1917277.35,9.31,828850.31 ,,,0.5,,,,,
32,24.35,1917277.35,9.80,828850.80 ,,,0.5,,,,,
32,24.45,1917277.45,28.78,828869.78 ,,0.5,0.5,0.5,,,,
32,24.49,1917277.49,35.34,828876.34 ,,0.5,,,,,,
32,24.55,1917277.55,12.84,828853.84 ,,,,,0.5,0.5,,
32,24.59,1917277.59,28.38,828869.38 ,,0.5,0.5,0.5,0.5,,,
32,24.78,1917277.78,28.41,828869.41 ,,,,0.5,,,,
32,25.05,1917278.05,34.65,828875.65 ,0.5,0.5,0.5,,,,,
32,25.08,1917278.08,34.95,828875.95 ,,0.5,,,,,,
32,26.14,1917279.14,20.86,828861.86 ,0.5,0.5,1.0,,,,,
32,26.27,1917279.27,11.48,828852.48 , ,0.5, , , , ,,
32,26.43,1917279.43,20.39,828861.39 ,0.5,0.5,1.0,,,,,
32,26.53,1917279.53,21.09,828862.09 ,0.5,0.5,1.0,,,,,
32,26.57,1917279.57,64.68,828905.68 ,,0.5,0.5,,,,,
32,27.32,1917280.32,20.33,828861.33 ,,0.5,0.5,,,,,
32,27.56,1917280.56,21.12,828862.12 ,,,0.5,,,,,
32,27.69,1917280.69,20.92,828861.92 ,,,0.5,,,,,
32,28.68,1917281.68,43.00,828884.00 ,0.5,0.5,0.5,,,,,
32,28.74,1917281.74,43.46,828884.46 ,0.5,0.5,1.0,,,,,
32,29.07,1917282.07,42.83,828883.83 ,0.5,0.5,0.5,,,,,
32,29.11,1917282.11,43.30,828884.30 ,0.5,0.5,0.5,,,,,
32,29.47,1917282.47,11.29,828852.29 ,,,,0.5,,,,
32,29.73,1917282.73,11.48,828852.48 ,,,,0.5,,,,
32,29.90,1917282.90,43.86,828884.86 ,,,0.5,0.5,,,,
32,29.93,1917282.93,10.63,828851.63 , ,0.5,0.5,0.5, , ,,
32,30.00,1917283.00,43.46,828884.46 ,,,0.5,0.5,,,,
32,30.03,1917283.03,11.75,828852.75 ,,,,0.5,,,,
32,30.13,1917283.13,43.16,828884.16 ,,,0.5,0.5,,,,
32,30.16,1917283.16,42.80,828883.80 , ,0.5,,,,,,
32,30.39,1917283.39,11.29,828852.29 , ,0.5,1.0,1.0, , ,,
32,30.66,1917283.66,42.57,828883.57 ,,0.5,,,,,,
32,30.79,1917283.79,42.80,828883.80 ,,0.5,,,,,,
32,30.95,1917283.95,42.54,828883.54 ,,0.5,,,,,,
32,32.90,1917285.90,44.81,828885.81 ,,0.5,,,,,,
32,33.20,1917286.20,8.65,828849.65 , ,0.5, , , , ,,
32,33.20,1917286.20,22.51,828863.51 ,,0.5,0.5,0.5,,,,
32,34.58,1917287.58,48.71,828889.71 ,,,,,1.0,,,
32,35.67,1917288.67,46.56,828887.56 ,,0.5,1.0,,,,,
32,36.33,1917289.33,47.03,828888.03 ,,0.5,,,,,,
32,38.18,1917291.18,8.51,828849.51 ,,,0.5,,,,,
32,38.21,1917291.21,9.11,828850.11 ,,,0.5,,,,,
32,38.51,1917291.51,8.28,828849.28 ,,,0.5,,,,,
32,38.61,1917291.61,41.18,828882.18 ,,0.5,0.5,,,,,
32,39.20,1917292.20,8.38,828849.38 , ,0.5,0.5, , , ,,
32,41.32,1917294.32,65.74,828906.74 ,,0.5,,,,,,
32,41.91,1917294.91,65.60,828906.60 ,,0.5,,,,,,
32,42.67,1917295.67,64.91,828905.91 ,,0.5,,,,,,
32,45.90,1917298.90,17.39,828858.39 , ,0.5,0.5,0.5, , ,,
32,46.00,1917299.00,16.96,828857.96 , ,0.5,0.5,0.5, , ,,
32,46.83,1917299.83,17.06,828858.06 , ,0.5,0.5, , , ,,
32,46.83,1917299.83,17.39,828858.39 ,,0.5,0.5,, , ,,
32,58.21,1917311.21,60.16,828901.16 ,0.5,,,,,,,
32,65.27,1917318.27,60.19,828901.19 ,,0.5,0.5,0.5,,,,
32,65.51,1917318.51,58.41,828899.41 ,0.5,,,,,,,
1,-1.91,1917251.09,48.56,828889.56,,,,,,,1.1,
1,0.06,1917253.06,57.41,828898.41,,,,,,,0.1,
1,0.38,1917253.38,52.49,828893.49,,,,,,,0.4,
1,1.04,1917254.04,23.29,828864.29,,,,,,,0.2,0.3
1,1.70,1917254.70,41.34,828882.34,,,,,,,0.2,
1,2.02,1917255.02,9.84,828850.84,,,,,,,0.2,
1,2.02,1917255.02,54.46,828895.46,,,,,,,0.2,
1,2.02,1917255.02,62.66,828903.66,,,,,,,0.1,
1,2.35,1917255.35,9.51,828850.51,,,,,,,0.1,0.3
1,2.35,1917255.35,11.48,828852.48,,,,,,,0.1,
1,2.35,1917255.35,22.97,828863.97,,,,,,,0.1,
1,2.35,1917255.35,53.48,828894.48,,,,,,,0.5,
1,2.68,1917255.68,60.37,828901.37,,,,,,,0.3,
1,3.01,1917256.01,9.19,828850.19,,,,,,,0.1,0.2
1,3.34,1917256.34,27.89,828868.89,,,,,,,0.2,
1,3.66,1917256.66,11.15,828852.15,,,,,,,0.1,
1,3.99,1917256.99,62.34,828903.34,,,,,,,0.1,0.2
1,4.65,1917257.65,41.67,828882.67,,,,,,,0.1,
1,4.98,1917257.98,6.56,828847.56,,,,,,,0.2,0.4
1,5.31,1917258.31,12.80,828853.80,,,,,,,0.2,0.4
1,5.31,1917258.31,14.44,828855.44,,,,,,,0.2,0.5
1,5.31,1917258.31,45.28,828886.28,,,,,,,0.3,
1,5.63,1917258.63,8.86,828849.86,,,,,,,0.1,0.2
1,5.96,1917258.96,42.98,828883.98,,,,,,,0.1,0.4
1,5.96,1917258.96,53.81,828894.81,,,,,,,0.1,
1,6.29,1917259.29,4.59,828845.59,,,,,,,0.4,
1,6.29,1917259.29,23.95,828864.95,,,,,,,0.3,
1,6.95,1917259.95,5.58,828846.58,,,,,,,0.2,
1,7.27,1917260.27,27.89,828868.89,,,,,,,0.4,
1,7.60,1917260.60,19.68,828860.68,,,,,,,0.2,0.3
1,7.93,1917260.93,8.86,828849.86,,,,,,,0.2,
1,8.26,1917261.26,0.98,828841.98,,,,,,,0.4,0.5
1,8.91,1917261.91,2.62,828843.62,,,,,,,0.2,
1,8.91,1917261.91,26.57,828867.57,,,,,,,0.1,
1,9.90,1917262.90,5.91,828846.91,,,,,,,0.3,0.5
1,10.55,1917263.55,48.23,828889.23,,,,,,,0.2,
1,10.55,1917263.55,53.81,828894.81,,,,,,,0.9,
1,11.21,1917264.21,53.48,828894.48,,,,,,,1.6,
1,11.54,1917264.54,12.80,828853.80,,,,,,,0.1,
1,11.54,1917264.54,53.81,828894.81,,,,,,,0.2,
1,12.52,1917265.52,62.34,828903.34,,,,,,,0.1,1.0
1,12.85,1917265.85,64.63,828905.63,,,,,,,0.3,0.5
1,13.18,1917266.18,63.98,828904.98,,,,,,,0.2,0.2
1,13.51,1917266.51,62.99,828903.99,,,,,,,0.5,
1,14.82,1917267.82,63.48,828904.48,,,,,,,1.3,
1,15.48,1917268.48,40.03,828881.03,,,,,,,0.2,
1,15.48,1917268.48,62.01,828903.01,,,,,,,0.2,0.2
1,15.80,1917268.80,63.32,828904.32,,,,,,,0.2,
1,16.46,1917269.46,62.34,828903.34,,,,,,,0.5,0.9
1,16.79,1917269.79,8.20,828849.20,,,,,,,0.2,
1,18.10,1917271.10,52.82,828893.82,,,,,,,0.1,0.4
1,18.43,1917271.43,44.62,828885.62,,,,,,,0.1,
1,19.74,1917272.74,44.95,828885.95,,,,,,,0.2,0.4
1,19.74,1917272.74,45.28,828886.28,,,,,,,0.2,
1,19.74,1917272.74,45.28,828886.28,,,,,,,0.1,
1,20.40,1917273.40,59.05,828900.05,,,,,,,0.2,0.5
1,20.72,1917273.72,44.95,828885.95,,,,,,,0.3,0.4
1,23.02,1917276.02,1.31,828842.31,,,,,,,0.4,0.6
1,23.68,1917276.68,56.76,828897.76,,,,,,,0.2,0.4
1,23.68,1917276.68,60.69,828901.69,,,,,,,0.5,0.9
1,24.01,1917277.01,55.77,828896.77,,,,,,,0.4,0.7
1,24.66,1917277.66,57.41,828898.41,,,,,,,0.1,
1,24.99,1917277.99,2.30,828843.30,,,,,,,0.6,0.9
1,24.99,1917277.99,33.14,828874.14,,,,,,,0.1,0.2
1,27.29,1917280.29,26.25,828867.25,,,,,,,0.1,
1,28.60,1917281.60,19.03,828860.03,,,,,,,0.2,
1,28.93,1917281.93,23.95,828864.95,,,,,,,0.1,
1,29.58,1917282.58,26.57,828867.57,,,,,,,0.3,
1,30.90,1917283.90,14.11,828855.11,,,,,,,0.1,
1,31.55,1917284.55,28.21,828869.21,,,,,,,0.1,
1,31.88,1917284.88,57.09,828898.09,,,,,,,0.2,
1,32.86,1917285.86,44.29,828885.29,,,,,,,0.6,
1,33.19,1917286.19,27.56,828868.56,,,,,,,0.2,
1,34.18,1917287.18,22.97,828863.97,,,,,,,0.2,
1,40.41,1917293.41,11.32,828852.32,,,,,,,0.2,0.4
1,40.74,1917293.74,30.84,828871.84,,,,,,,0.3,
1,40.74,1917293.74,31.50,828872.50,,,,,,,0.2,
1,42.71,1917295.71,21.33,828862.33,,,,,,,0.2,
1,44.02,1917297.02,27.23,828868.23,,,,,,,0.2,
1,44.02,1917297.02,27.23,828868.23,,,,,,,0.2,
1,45.99,1917298.99,33.79,828874.79,,,,,,,0.1,
1,46.32,1917299.32,26.25,828867.25,,,,,,,0.2,0.2
1,46.64,1917299.64,24.93,828865.93,,,,,,,0.1,
1,50.91,1917303.91,25.26,828866.26,,,,,,,0.1,
1,51.56,1917304.56,39.37,828880.37,,,,,,,0.2,
1,54.52,1917307.52,19.36,828860.36,,,,,,,0.1,0.3
1,55.17,1917308.17,38.39,828879.39,,,,,,,0.4,0.7
1,56.49,1917309.49,27.23,828868.23,,,,,,,0.3,0.5
1,57.47,1917310.47,28.54,828869.54,,,,,,,0.2,
1,58.45,1917311.45,18.04,828859.04,,,,,,,0.4,1.0
1,61.41,1917314.41,1.48,828842.48,,,,,,,0.3,0.6
1,61.41,1917314.41,9.19,828850.19,,,,,,,0.2,
1,61.73,1917314.73,0.33,828841.33,,,,,,,0.2,
1,62.72,1917315.72,33.96,828874.96,,,,,,,0.2,0.3
1,63.70,1917316.70,20.34,828861.34,,,,,,,0.1,0.2
1,64.03,1917317.03,33.14,828874.14,,,,,,,0.2,
1,64.03,1917317.03,35.76,828876.76,,,,,,,0.1,
1,64.36,1917317.36,34.45,828875.45,,,,,,,0.3,0.5
1,64.69,1917317.69,15.75,828856.75,,,,,,,0.1,
1,65.84,1917318.84,2.95,828843.95,,,,,,,0.4,0.6
2,1.04,1917254.04,43.96,828884.96,,,,,,,1.5,
2,1.70,1917254.70,48.88,828889.88,,,,,,,0.9,1.7
2,2.02,1917255.02,64.63,828905.63,,,,,,,0.1,
2,4.32,1917257.32,64.63,828905.63,,,,,,,0.3,0.5
2,5.63,1917258.63,63.98,828904.98,,,,,,,0.3,0.4
2,6.29,1917259.29,38.06,828879.06,,,,,,,0.2,1.6
2,6.29,1917259.29,64.63,828905.63,,,,,,,0.3,
2,6.62,1917259.62,63.98,828904.98,,,,,,,0.2,
2,6.62,1917259.62,65.62,828906.62,,,,,,,0.5,0.9
2,11.21,1917264.21,23.95,828864.95,,,,,,,0.5,1.6
2,11.54,1917264.54,65.29,828906.29,,,,,,,0.2,1.1
2,13.18,1917266.18,48.88,828889.88,,,,,,,0.2,2.1
2,13.18,1917266.18,61.68,828902.68,,,,,,,0.3,
2,13.18,1917266.18,62.01,828903.01,,,,,,,0.1,1.2
2,13.51,1917266.51,47.24,828888.24,,,,,,,0.6,
2,14.82,1917267.82,47.57,828888.57,,,,,,,0.3,1.4
2,18.10,1917271.10,62.01,828903.01,,,,,,,0.6,2.0
2,19.41,1917272.41,26.57,828867.57,,,,,,,0.3,1.9
2,20.72,1917273.72,61.68,828902.68,,,,,,,0.2,1.2
2,48.28,1917301.28,22.64,828863.64,,,,,,,0.1,
2,51.56,1917304.56,8.53,828849.53,,,,,,,3.5,4.6
2,62.06,1917315.06,40.68,828881.68,,,,,,,0.6,
2,63.38,1917316.38,57.09,828898.09,,,,,,,0.1,
2,63.54,1917316.54,30.18,828871.18,,,,,,,0.6,1.5
2,63.70,1917316.70,12.14,828853.14,,,,,,,1.0,
2,63.70,1917316.70,25.92,828866.92,,,,,,,0.2,0.7
6,9.24,1917262.24,3.28,828844.28,,,,,,,2.5,2.4
6,22.69,1917275.69,52.16,828893.16,,,,,,,10.9,11.0
6,22.69,1917275.69,52.16,828893.16,,,,,,,0.3,0.5
6,22.69,1917275.69,52.16,828893.16,,,,,,,0.4,1.2
11,7.93,1917260.93,49.87,828890.87,,,,,,,0.6,
11,46.32,1917299.32,26.90,828867.90,,,,,,,0.2,
13,31.22,1917284.22,35.10,828876.10,,,,,,,5.5,
13,37.46,1917290.46,20.34,828861.34,,,,,,,0.5,
13,45.66,1917298.66,56.76,828897.76,,,,,,,0.2,
13,47.96,1917300.96,56.43,828897.43,,,,,,,0.1,0.5
26,13.84,1917266.84,53.48,828894.48,,,,,,,0.1,0.4
26,36.47,1917289.47,65.29,828906.29,,,,,,,1.9,3.4
26,39.43,1917292.43,35.10,828876.10,,,,,,,0.4,1.0
?,28.93,1917281.93,11.81,828852.81,,,,,,,0.2,
1,0.17,1917253.17,50.20,828891.20,,,,,,,,2.0
1,0.67,1917253.67,36.35,828877.35,,,,,,,,0.5
1,0.92,1917253.92,25.40,828866.40,,,,,,,,0.3
1,1.17,1917254.17,50.80,828891.80,,,,,,,,0.7
1,1.42,1917254.42,53.55,828894.55,,,,,,,,0.7
1,1.85,1917254.85,56.88,828897.88,,,,,,,,0.4
1,1.92,1917254.92,23.23,828864.23,,,,,,,,0.3
1,2.00,1917255.00,54.88,828895.88,,,,,,,,0.1
1,2.58,1917255.58,26.82,828867.82,,,,,,,,0.2
1,2.75,1917255.75,46.20,828887.20,,,,,,,,1.2
1,2.83,1917255.83,10.03,828851.03,,,,,,,,0.3
1,2.83,1917255.83,61.40,828902.40,,,,,,,,0.7
1,2.83,1917255.83,62.90,828903.90,,,,,,,,0.4
1,3.17,1917256.17,55.88,828896.88,,,,,,,,1.0
1,3.33,1917256.33,42.35,828883.35,,,,,,,,0.1
1,3.35,1917256.35,44.02,828885.02,,,,,,,,0.2
1,3.60,1917256.60,9.52,828850.52,,,,,,,,0.2
1,3.60,1917256.60,20.88,828861.88,,,,,,,,0.4
1,3.85,1917256.85,23.30,828864.30,,,,,,,,0.2
1,4.18,1917257.18,27.90,828868.90,,,,,,,,0.2
1,4.18,1917257.18,28.23,828869.23,,,,,,,,0.3
1,4.27,1917257.27,11.37,828852.37,,,,,,,,0.1
1,4.43,1917257.43,24.40,828865.40,,,,,,,,0.2
1,5.02,1917258.02,54.63,828895.63,,,,,,,,0.2
1,5.27,1917258.27,48.28,828889.28,,,,,,,,0.1
1,5.52,1917258.52,33.77,828874.77,,,,,,,,0.3
1,5.60,1917258.60,45.62,828886.62,,,,,,,,0.2
1,5.77,1917258.77,13.53,828854.53,,,,,,,,0.4
1,5.93,1917258.93,15.28,828856.28,,,,,,,,0.5
1,6.10,1917259.10,17.20,828858.20,,,,,,,,0.2
1,6.10,1917259.10,17.20,828858.20,,,,,,,,0.2
1,6.93,1917259.93,29.33,828870.33,,,,,,,,0.7
1,7.33,1917260.33,24.82,828865.82,,,,,,,,0.6
1,7.85,1917260.85,42.45,828883.45,,,,,,,,0.3
1,9.18,1917262.18,2.75,828843.75,,,,,,,,0.3
1,9.37,1917262.37,9.37,828850.37,,,,,,,,0.1
1,9.60,1917262.60,61.48,828902.48,,,,,,,,0.3
1,9.87,1917262.87,60.65,828901.65,,,,,,,,1.2
1,10.10,1917263.10,27.57,828868.57,,,,,,,,0.3
1,10.62,1917263.62,8.77,828849.77,,,,,,,,0.4
1,11.03,1917264.03,61.23,828902.23,,,,,,,,0.4
1,11.37,1917264.37,45.62,828886.62,,,,,,,,1.0
1,12.20,1917265.20,60.15,828901.15,,,,,,,,0.2
1,12.37,1917265.37,65.67,828906.67,,,,,,,,0.2
1,12.45,1917265.45,42.87,828883.87,,,,,,,,0.1
1,13.20,1917266.20,58.73,828899.73,,,,,,,,0.5
1,14.70,1917267.70,61.40,828902.40,,,,,,,,0.1
1,15.20,1917268.20,19.97,828860.97,,,,,,,,0.1
1,15.28,1917268.28,4.02,828845.02,,,,,,,,0.2
1,17.13,1917270.13,55.30,828896.30,,,,,,,,0.4
1,17.30,1917270.30,41.02,828882.02,,,,,,,,0.5
1,17.62,1917270.62,8.27,828849.27,,,,,,,,0.4
1,17.63,1917270.63,59.32,828900.32,,,,,,,,0.2
1,18.22,1917271.22,3.85,828844.85,,,,,,,,3.5
1,18.38,1917271.38,42.60,828883.60,,,,,,,,0.3
1,20.88,1917273.88,44.38,828885.38,,,,,,,,0.5
1,21.63,1917274.63,42.18,828883.18,,,,,,,,0.2
1,22.30,1917275.30,44.28,828885.28,,,,,,,,0.6
1,22.65,1917275.65,24.73,828865.73,,,,,,,,0.1
1,23.65,1917276.65,62.23,828903.23,,,,,,,,0.3
1,23.90,1917276.90,56.38,828897.38,,,,,,,,0.2
1,25.65,1917278.65,1.08,828842.08,,,,,,,,0.3
1,27.82,1917280.82,28.07,828869.07,,,,,,,,0.3
1,28.57,1917281.57,10.78,828851.78,,,,,,,,0.5
1,28.82,1917281.82,18.30,828859.30,,,,,,,,1.4
1,29.98,1917282.98,28.15,828869.15,,,,,,,,0.4
1,29.98,1917282.98,29.40,828870.40,,,,,,,,2.4
1,30.32,1917283.32,7.77,828848.77,,,,,,,,0.2
1,31.75,1917284.75,58.90,828899.90,,,,,,,,0.4
1,33.58,1917286.58,29.48,828870.48,,,,,,,,0.4
1,34.33,1917287.33,24.57,828865.57,,,,,,,,0.3
1,37.27,1917290.27,21.80,828862.80,,,,,,,,0.1
1,37.68,1917290.68,19.30,828860.30,,,,,,,,0.7
1,42.02,1917295.02,31.65,828872.65,,,,,,,,0.5
1,43.87,1917296.87,20.63,828861.63,,,,,,,,0.4
1,45.03,1917298.03,28.07,828869.07,,,,,,,,0.3
1,45.03,1917298.03,28.07,828869.07,,,,,,,,0.2
1,47.45,1917300.45,33.83,828874.83,,,,,,,,0.3
1,51.20,1917304.20,10.20,828851.20,,,,,,,,2.4
1,51.63,1917304.63,38.43,828879.43,,,,,,,,0.2
1,53.63,1917306.63,16.20,828857.20,,,,,,,,0.1
1,54.38,1917307.38,38.10,828879.10,,,,,,,,0.4
1,54.63,1917307.63,16.20,828857.20,,,,,,,,0.1
1,57.23,1917310.23,18.05,828859.05,,,,,,,,2.0
1,58.00,1917311.00,56.82,828897.82,,,,,,,,3.6?
1,59.23,1917312.23,38.77,828879.77,,,,,,,,0.2
1,62.83,1917315.83,21.13,828862.13,,,,,,,,0.1
1,63.00,1917316.00,5.60,828846.60,,,,,,,,0.3
1,64.08,1917317.08,33.42,828874.42,,,,,,,,0.1
1,64.75,1917317.75,28.40,828869.40,,,,,,,,0.3
1,64.92,1917317.92,33.17,828874.17,,,,,,,,0.3
1,64.92,1917317.92,35.25,828876.25,,,,,,,,0.3
1,65.25,1917318.25,14.62,828855.62,,,,,,,,0.3
2,0.75,1917253.75,64.58,828905.58,,,,,,,,1.2
2,2.42,1917255.42,44.20,828885.20,,,,,,,,3.4
2,9.85,1917262.85,22.47,828863.47,,,,,,,,0.7
2,11.03,1917264.03,2.93,828843.93,,,,,,,,0.2
2,11.62,1917264.62,49.12,828890.12,,,,,,,,1.0
2,13.20,1917266.20,64.07,828905.07,,,,,,,,1.0
2,14.37,1917267.37,11.95,828852.95,,,,,,,,0.5
2,15.20,1917268.20,64.23,828905.23,,,,,,,,2.1
2,16.30,1917269.30,62.57,828903.57,,,,,,,,1.0
2,16.80,1917269.80,44.37,828885.37,,,,,,,,0.2
2,17.37,1917270.37,2.42,828843.42,,,,,,,,0.5
2,17.53,1917270.53,2.58,828843.58,,,,,,,,0.6
2,22.55,1917275.55,60.98,828901.98,,,,,,,,0.1
2,35.17,1917288.17,29.92,828870.92,,,,,,,,0.2
2,40.77,1917293.77,34.83,828875.83,,,,,,,,0.1
2,44.70,1917297.70,53.72,828894.72,,,,,,,,0.7
2,45.20,1917298.20,60.23,828901.23,,,,,,,,1.5
2,47.87,1917300.87,64.17,828905.17,,,,,,,,1.0
2,49.20,1917302.20,22.57,828863.57,,,,,,,,0.7
2,63.50,1917316.50,57.32,828898.32,,,,,,,,0.3
7,3.43,1917256.43,55.22,828896.22,,,,,,,,0.4
7,41.43,1917294.43,57.90,828898.90,,,,,,,,0.6
7,51.97,1917304.97,47.95,828888.95,,,,,,,,0.2
7,62.98,1917315.98,43.78,828884.78,,,,,,,,0.1
11,8.18,1917261.18,50.53,828891.53,,,,,,,,1.7
11,20.80,1917273.80,14.45,828855.45,,,,,,,,0.4
11,39.60,1917292.60,19.05,828860.05,,,,,,,,0.6
11,55.57,1917308.57,50.97,828891.97,,,,,,,,0.5
13,57.73,1917310.73,24.82,828865.82,,,,,,,,0.5
23,47.03,1917300.03,49.63,828890.63,,,,,,,,0.6
23,48.78,1917301.78,59.57,828900.57,,,,,,,,0.6
23,57.40,1917310.40,52.63,828893.63,,,,,,,,0.5
