50 YEAR PLOT NO. 5,,,,,,,,,,,,
".1 acre, 66 ft. square",,,,,,,,,,,Actual ,
,,,,,DBH Class in Inches-------------------,,,,,,DBH (in),
SPECIES,X (ft.),X_COORD,Y (ft.),Y_COORD,1938,1945,1951,1955,1973,1979,1991,2001
6,56.13,1917309.13,50.03,828891.03 ,,,,,0.5,0.5,,
6,56.30,1917309.30,49.53,828890.53 ,,1.0,2.0,2.0,3.0,3.0,,
6,56.56,1917309.56,50.33,828891.33 ,,,,,,0.5,,
6,56.79,1917309.79,49.93,828890.93 ,,0.5,0.5,0.5,0.5,,,
6,56.86,1917309.86,49.30,828890.30 ,,,,,,0.5,,
6,57.26,1917310.26,49.83,828890.83 ,,,,,0.5,0.5,,
6,57.45,1917310.45,50.36,828891.36 ,,,,,,0.5,,
6,61.91,1917314.91,24.65,828865.65 ,,,,,,1.0,3.2,4.2
6,63.03,1917316.03,24.95,828865.95 ,3.0,5.0,5.0,6.0,6.0,6.0,6.1,6.0
6,63.10,1917316.10,24.49,828865.49 ,0.5,1.0,,,,,,
6,63.33,1917316.33,25.44,828866.44 ,4.0,5.0,8.0,8.0,10.0,10.0,12.0,12.5
6,63.56,1917316.56,24.26,828865.26 ,0.5,1.0,2.0,2.0,3.0,,,
6,63.56,1917316.56,24.88,828865.88 ,2.0,3.0,4.0,5.0,,,,
7,2.18,1917255.18,54.35,828895.35 ,,,,,,0.5,,
7,3.04,1917256.04,54.32,828895.32 ,,,,,0.5,1.0,0.5,
7,3.70,1917256.70,54.38,828895.38 ,,,,,,0.5,0.5,
7,6.11,1917259.11,17.69,828858.69 , ,0.5, , , , ,,
7,6.50,1917259.50,22.08,828863.08 ,,0.5,1.0,1.0,1.0,1.0,,
7,6.90,1917259.90,20.89,828861.89 ,,,,0.5,1.0,,,
7,6.93,1917259.93,21.81,828862.81 ,,,0.5,0.5,1.0,1.0,,
7,7.03,1917260.03,21.35,828862.35 ,,,0.5,1.0,,,,
7,7.36,1917260.36,22.24,828863.24 ,,,,,1.0,,,
7,7.99,1917260.99,0.63,828841.63 ,,,,,2.0,2.0,3.7,
7,28.58,1917281.58,10.49,828851.49 ,,,,,,0.5,,
7,30.43,1917283.43,28.71,828869.71 ,,,,,2.0,2.0,2.6,
7,30.46,1917283.46,29.11,828870.11 ,,,,0.5,2.0,3.0,2.9,3.0
7,31.02,1917284.02,28.15,828869.15 ,,0.5,1.0,3.0,,,,
7,31.02,1917284.02,28.51,828869.51 ,,,,,2.0,2.0,,
